sample	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
ERX101286	NA	ERX101286_01806	1	1203	+	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	401	401	100.00	100.00	401	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)	NA	NA
ERX101286	NA	ERX101286_01814	1	639	+	catA2	type A-2 chloramphenicol O-acetyltransferase CatII	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	213	213	100.00	100.00	213	WP_011751353.1	type A-2 chloramphenicol O-acetyltransferase CatII	NA	NA
ERX2260695	NA	ERX2260695_00017	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260700	NA	ERX2260700_01826	1	801	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
ERX2260700	NA	ERX2260700_01827	1	834	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
ERX2260700	NA	ERX2260700_01838	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260700	NA	ERX2260700_01948	1	813	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
ERX2260710	NA	ERX2260710_00848	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260716	NA	ERX2260716_00807	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260719	NA	ERX2260719_00505	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260743	NA	ERX2260743_01637	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260743	NA	ERX2260743_01857	1	813	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
ERX2260743	NA	ERX2260743_01859	1	834	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
ERX2260743	NA	ERX2260743_01860	1	801	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
ERX2260743	NA	ERX2260743_01874	1	813	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
ERX2260745	NA	ERX2260745_00540	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260749	NA	ERX2260749_00968	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260749	NA	ERX2260749_00979	1	834	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
ERX2260749	NA	ERX2260749_00980	1	801	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	267	267	100.00	99.63	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
ERX2260749	NA	ERX2260749_01909	1	813	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
ERX2260763	NA	ERX2260763_00257	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260777	NA	ERX2260777_01073	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260787	NA	ERX2260787_00969	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260810	NA	ERX2260810_01702	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260816	NA	ERX2260816_00206	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260827	NA	ERX2260827_01286	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260835	NA	ERX2260835_01289	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260839	NA	ERX2260839_01684	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260842	NA	ERX2260842_00919	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260843	NA	ERX2260843_01777	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260861	NA	ERX2260861_00946	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260875	NA	ERX2260875_01837	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260880	NA	ERX2260880_00806	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260886	NA	ERX2260886_00164	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260892	NA	ERX2260892_00594	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260903	NA	ERX2260903_01699	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260906	NA	ERX2260906_01513	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260910	NA	ERX2260910_00453	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260917	NA	ERX2260917_00366	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260917	NA	ERX2260917_00377	1	834	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
ERX2260917	NA	ERX2260917_00378	1	801	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	267	267	100.00	99.63	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
ERX2260917	NA	ERX2260917_00379	1	813	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
ERX2260917	NA	ERX2260917_01979	1	1203	+	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	401	401	100.00	100.00	401	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)	NA	NA
ERX2260917	NA	ERX2260917_02003	1	639	+	catA2	type A-2 chloramphenicol O-acetyltransferase CatII	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	213	213	100.00	100.00	213	WP_011751353.1	type A-2 chloramphenicol O-acetyltransferase CatII	NA	NA
ERX2260923	NA	ERX2260923_00603	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260935	NA	ERX2260935_00976	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260935	NA	ERX2260935_00987	1	834	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
ERX2260935	NA	ERX2260935_00988	1	801	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
ERX2260935	NA	ERX2260935_01877	1	813	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
ERX2260936	NA	ERX2260936_01782	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260936	NA	ERX2260936_01955	1	813	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
ERX2260938	NA	ERX2260938_00889	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260941	NA	ERX2260941_01119	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260942	NA	ERX2260942_00419	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2260945	NA	ERX2260945_00915	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579040	NA	ERX2579040_01274	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579040	NA	ERX2579040_01886	1	813	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
ERX2579041	NA	ERX2579041_01156	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579041	NA	ERX2579041_01167	1	834	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
ERX2579041	NA	ERX2579041_01168	1	801	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
ERX2579041	NA	ERX2579041_01905	1	813	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
ERX2579050	NA	ERX2579050_01256	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579051	NA	ERX2579051_01199	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579065	NA	ERX2579065_01421	1	813	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
ERX2579065	NA	ERX2579065_01422	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579068	NA	ERX2579068_00061	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579078	NA	ERX2579078_01843	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579078	NA	ERX2579078_01944	1	813	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
ERX2579090	NA	ERX2579090_00575	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579103	NA	ERX2579103_01172	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579111	NA	ERX2579111_01755	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579118	NA	ERX2579118_01112	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579123	NA	ERX2579123_01847	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579124	NA	ERX2579124_00823	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2579126	NA	ERX2579126_00142	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2803931	NA	ERX2803931_01729	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2803935	NA	ERX2803935_01367	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2803936	NA	ERX2803936_00386	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
ERX2803938	NA	ERX2803938_00345	1	858	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1	NA	NA
