sample	cluster	assembled	match	pct_id	ctg_cov	known_var	novel_var
ERX101226	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	456.8	no	yes
ERX101226	hmrM	yes	yes	95.84	41.2	no	yes
ERX101227	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	406.0	no	yes
ERX101227	hmrM	yes	yes	94.48	29.5	no	yes
ERX101228	LpsA	yes	yes	98.57	62.6	no	yes
ERX101228	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	318.0	no	yes
ERX101228	TEM_-	yes	yes	99.88	56.4	no	yes
ERX101228	hmrM	yes	yes	94.7	30.6	no	yes
ERX101229	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	473.4	no	yes
ERX101230	Haemophilus_influenzae_PBP3	yes	yes	96.34	48.1	yes	yes
ERX101230	LpsA	yes	yes	94.22	18.7	no	yes
ERX101230	Pasteurella_multocida_16S	yes_nonunique	yes	94.66	389.1	no	yes
ERX101230	hmrM	yes	yes	99.71	69.1	no	yes
ERX101231	Pasteurella_multocida_16S	yes_nonunique	yes	95.55	399.9	no	yes
ERX101232	LpsA	yes	yes	98.44	52.8	no	yes
ERX101232	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	349.5	no	yes
ERX101232	hmrM	yes	yes	94.48	28.9	no	yes
ERX101233	LpsA	yes	yes	100.0	67.5	no	no
ERX101233	Pasteurella_multocida_16S	yes_nonunique	yes	95.36	307.4	no	yes
ERX101233	hmrM	yes	yes	94.34	23.3	no	yes
ERX101234	LpsA	yes	yes	97.61	36.8	no	yes
ERX101234	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	306.3	no	yes
ERX101234	TEM_-	yes	yes	99.88	44.2	no	yes
ERX101234	hmrM	yes	yes	99.93	51.7	no	yes
ERX101235	LpsA	yes	yes	98.05	52.1	no	yes
ERX101235	Pasteurella_multocida_16S	yes_nonunique	yes	95.24	396.5	no	yes
ERX101235	hmrM	yes	yes	98.92	57.1	no	yes
ERX101236	LpsA	yes	yes	94.03	23.4	no	yes
ERX101236	Pasteurella_multocida_16S	yes_nonunique	yes	95.44	420.6	no	yes
ERX101236	hmrM	yes	yes	94.48	26.2	no	yes
ERX101237	LpsA	yes	yes	99.35	62.7	no	yes
ERX101237	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	446.2	no	yes
ERX101238	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	449.0	no	yes
ERX101238	hmrM	yes	yes	96.77	50.9	no	yes
ERX101239	LpsA	yes	yes	100.0	55.2	no	no
ERX101239	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	346.3	no	yes
ERX101239	TEM_-	yes	yes	99.88	891.8	no	yes
ERX101239	hmrM	yes	yes	94.48	25.2	no	yes
ERX101240	LpsA	yes	yes	99.48	67.3	no	yes
ERX101240	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	414.8	no	yes
ERX101240	hmrM	yes	yes	94.34	30.6	no	yes
ERX101241	LpsA	yes	yes	98.44	50.3	no	yes
ERX101241	Pasteurella_multocida_16S	yes_nonunique	yes	95.27	455.2	no	yes
ERX101241	hmrM	yes	yes	94.48	32.8	no	yes
ERX101242	LpsA	yes	yes	98.31	48.4	no	yes
ERX101242	Pasteurella_multocida_16S	yes	yes	95.43	401.5	no	yes
ERX101242	TEM_-	yes	yes	99.88	61.1	no	yes
ERX101242	hmrM	yes	yes	96.77	47.7	no	yes
ERX101243	LpsA	yes	yes	98.44	54.2	no	yes
ERX101243	Pasteurella_multocida_16S	yes_nonunique	yes	95.55	371.5	no	yes
ERX101243	hmrM	yes	yes	94.48	29.0	no	yes
ERX101244	Haemophilus_influenzae_PBP3	yes	yes	96.62	37.6	yes	yes
ERX101244	LpsA	yes	yes	93.9	18.5	no	yes
ERX101244	Pasteurella_multocida_16S	yes_nonunique	yes	94.34	318.2	no	yes
ERX101244	hmrM	yes	yes	97.92	45.7	no	yes
ERX101245	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	330.9	no	yes
ERX101245	hmrM	yes	yes	94.62	23.9	no	yes
ERX101246	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	304.9	no	yes
ERX101246	hmrM	yes	yes	98.35	45.1	no	yes
ERX101247	Haemophilus_influenzae_PBP3	yes	yes	95.96	40.3	yes	yes
ERX101247	LpsA	yes	yes	93.78	26.0	no	yes
ERX101247	Pasteurella_multocida_16S	yes_nonunique	yes	95.17	387.2	no	yes
ERX101247	hmrM	yes	yes	99.64	67.1	no	yes
ERX101248	Haemophilus_influenzae_PBP3	yes	yes	98.04	57.1	yes	yes
ERX101248	Pasteurella_multocida_16S	yes_nonunique	yes	95.36	337.0	no	yes
ERX101248	hmrM	yes	yes	94.48	22.9	no	yes
ERX101249	LpsA	yes	yes	100.0	45.0	no	no
ERX101249	Pasteurella_multocida_16S	yes_nonunique	yes	95.55	337.7	no	yes
ERX101249	hmrM	yes	yes	94.48	23.0	no	yes
ERX101250	Haemophilus_influenzae_PBP3	yes_nonunique	yes	96.34	44.3	yes	yes
ERX101250	Pasteurella_multocida_16S	yes_nonunique	yes	95.37	283.1	no	yes
ERX101251	LpsA	yes	yes	98.31	57.5	no	yes
ERX101251	Pasteurella_multocida_16S	yes_nonunique	yes	95.62	424.3	no	yes
ERX101251	hmrM	yes	yes	94.7	28.1	no	yes
ERX101252	Pasteurella_multocida_16S	yes_nonunique	yes	95.55	273.0	no	yes
ERX101252	hmrM	yes	yes	96.77	35.8	no	yes
ERX101253	LpsA	yes	yes	98.57	58.1	no	yes
ERX101253	Pasteurella_multocida_16S	yes	yes	95.49	467.7	no	yes
ERX101254	LpsA	yes	yes	93.13	21.1	no	yes
ERX101254	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	515.5	no	yes
ERX101254	hmrM	yes	yes	94.48	27.5	no	yes
ERX101255	Haemophilus_influenzae_PBP3	yes	yes	96.62	54.7	yes	yes
ERX101255	LpsA	yes	yes	98.44	58.7	no	yes
ERX101255	Pasteurella_multocida_16S	yes_nonunique	yes	94.73	413.5	no	yes
ERX101255	hmrM	yes	yes	97.2	53.2	no	yes
ERX101256	LpsA	yes	yes	98.44	57.6	no	yes
ERX101256	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	423.8	no	yes
ERX101256	hmrM	yes	yes	94.48	30.0	no	yes
ERX101257	Haemophilus_influenzae_PBP3	yes	yes	96.67	54.7	yes	yes
ERX101257	Pasteurella_multocida_16S	yes_nonunique	yes	94.72	369.6	no	yes
ERX101257	hmrM	yes	yes	99.71	63.5	no	yes
ERX101258	LpsA	yes	yes	99.22	39.0	no	yes
ERX101258	Pasteurella_multocida_16S	yes_nonunique	yes	95.68	322.3	no	yes
ERX101258	hmrM	yes	yes	97.49	43.3	no	yes
ERX101259	Pasteurella_multocida_16S	yes_nonunique	yes	95.68	468.3	no	yes
ERX101259	hmrM	yes	yes	94.7	28.8	no	yes
ERX101260	Pasteurella_multocida_16S	yes_nonunique	yes	95.44	339.1	no	yes
ERX101260	hmrM	yes	yes	96.77	43.7	no	yes
ERX101261	Haemophilus_influenzae_PBP3	yes	yes	97.93	61.3	yes	yes
ERX101261	LpsA	yes	yes	99.48	61.5	no	yes
ERX101261	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	408.2	no	yes
ERX101261	hmrM	yes	yes	97.78	59.4	no	yes
ERX101262	LpsA	yes	yes	99.48	64.5	no	yes
ERX101262	Pasteurella_multocida_16S	yes_nonunique	yes	95.11	400.8	no	yes
ERX101262	hmrM	yes	yes	94.34	26.0	no	yes
ERX101263	Pasteurella_multocida_16S	yes	yes	95.36	444.2	no	yes
ERX101263	hmrM	yes	yes	98.42	62.0	no	yes
ERX101264	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	393.1	no	yes
ERX101264	TEM_-	yes	yes	99.88	53.0	no	yes
ERX101264	hmrM	yes	yes	97.28	49.1	no	yes
ERX101265	Haemophilus_influenzae_PBP3	yes	yes	94.65	44.2	yes	yes
ERX101265	hmrM	yes	yes	94.62	29.4	no	yes
ERX101266	LpsA	yes	yes	98.05	42.6	no	yes
ERX101266	Pasteurella_multocida_16S	yes	yes	95.49	318.0	no	yes
ERX101266	hmrM	yes	yes	94.48	22.7	no	yes
ERX101267	LpsA	yes	yes	98.83	63.6	no	yes
ERX101267	Pasteurella_multocida_16S	yes_nonunique	yes	95.56	472.6	no	yes
ERX101267	hmrM	yes	yes	94.34	25.2	no	yes
ERX101268	Pasteurella_multocida_16S	yes_nonunique	yes	95.62	425.9	no	yes
ERX101268	hmrM	yes	yes	94.7	28.6	no	yes
ERX101269	Pasteurella_multocida_16S	yes_nonunique	yes	94.91	377.8	no	yes
ERX101269	hmrM	yes	yes	90.75	21.0	no	yes
ERX101270	LpsA	yes	yes	93.64	25.9	no	yes
ERX101270	hmrM	yes	yes	97.85	60.8	no	yes
ERX101271	LpsA	yes	yes	96.28	45.3	no	yes
ERX101271	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	451.8	no	yes
ERX101271	hmrM	yes_nonunique	yes	94.7	27.6	no	yes
ERX101272	Pasteurella_multocida_16S	yes	yes	95.49	378.5	no	yes
ERX101272	hmrM	yes	yes	99.21	75.8	no	yes
ERX101273	hmrM	yes	yes	94.41	23.6	no	yes
ERX101274	LpsA	yes	yes	99.48	64.2	no	yes
ERX101274	Pasteurella_multocida_16S	yes	yes	95.56	399.2	no	yes
ERX101274	hmrM	yes	yes	96.85	49.0	no	yes
ERX101275	LpsA	yes	yes	98.44	63.7	no	yes
ERX101275	Pasteurella_multocida_16S	yes	yes	95.49	441.1	no	yes
ERX101275	hmrM	yes	yes	94.41	28.3	no	yes
ERX101276	Haemophilus_influenzae_PBP3	yes	yes	96.94	62.2	yes	yes
ERX101276	hmrM	yes	yes	96.34	47.3	no	yes
ERX101277	Pasteurella_multocida_16S	yes_nonunique	yes	95.04	319.2	no	yes
ERX101277	hmrM	yes	yes	91.95	22.3	no	yes
ERX101277	tet_B_	yes	yes	99.75	62.0	no	yes
ERX101278	LpsA	yes	yes	99.48	62.2	no	yes
ERX101278	Pasteurella_multocida_16S	yes_nonunique	yes	95.68	387.6	no	yes
ERX101279	LpsA	yes	yes	98.31	54.6	no	yes
ERX101279	Pasteurella_multocida_16S	yes	yes	95.49	381.4	no	yes
ERX101279	hmrM	yes	yes	97.49	53.1	no	yes
ERX101280	LpsA	yes	yes	99.35	56.3	no	yes
ERX101280	Pasteurella_multocida_16S	yes_nonunique	yes	95.36	369.9	no	yes
ERX101280	hmrM	yes	yes	96.77	46.8	no	yes
ERX101281	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	399.8	no	yes
ERX101281	hmrM	yes	yes	98.21	61.3	no	yes
ERX101282	Pasteurella_multocida_16S	yes_nonunique	yes	95.68	342.1	no	yes
ERX101282	hmrM	yes	yes	94.62	24.8	no	yes
ERX101283	LpsA	yes	yes	98.05	48.6	no	yes
ERX101283	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	367.6	no	yes
ERX101283	TEM_-	yes	yes	99.88	67.5	no	yes
ERX101284	Pasteurella_multocida_16S	yes	yes	95.43	438.2	no	yes
ERX101284	hmrM	yes	yes	98.06	66.8	no	yes
ERX101285	Pasteurella_multocida_16S	yes	yes	95.43	337.6	no	yes
ERX101285	TEM_-	yes	yes	99.88	56.5	no	yes
ERX101285	hmrM	yes	yes	98.06	49.5	no	yes
ERX101286	LpsA	yes	yes	99.09	47.3	no	yes
ERX101286	Pasteurella_multocida_16S	yes	yes	95.43	320.3	no	yes
ERX101286	catII	yes	yes	99.69	46.1	no	yes
ERX101286	hmrM	yes	yes	94.48	23.3	no	yes
ERX101286	tet_B_	yes	yes	99.83	59.8	no	yes
ERX101287	Pasteurella_multocida_16S	yes_nonunique	yes	95.36	420.5	no	yes
ERX101287	hmrM	yes	yes	94.7	28.7	no	yes
ERX101288	LpsA	yes	yes	98.96	64.7	no	yes
ERX101288	Pasteurella_multocida_16S	yes_nonunique	yes	95.57	443.5	no	yes
ERX101288	hmrM	yes	yes	97.92	60.6	no	yes
ERX101289	Haemophilus_influenzae_PBP3	yes	yes	96.62	55.7	yes	yes
ERX101289	LpsA	yes	yes	93.51	15.9	no	yes
ERX101289	Pasteurella_multocida_16S	yes_nonunique	yes	94.72	352.8	no	yes
ERX101289	hmrM	yes	yes	99.43	67.9	no	yes
ERX101290	Pasteurella_multocida_16S	yes_nonunique	yes	95.55	487.1	no	yes
ERX101290	hmrM	yes	yes	99.35	74.0	no	yes
ERX101291	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	381.1	no	yes
ERX101291	hmrM	yes	yes	94.48	32.8	no	yes
ERX101292	LpsA	yes	yes	98.31	57.1	no	yes
ERX101292	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	443.8	no	yes
ERX101292	hmrM	yes	yes	94.41	28.0	no	yes
ERX2260689	Haemophilus_influenzae_PBP3	yes	yes	96.67	63.1	yes	yes
ERX2260689	Pasteurella_multocida_16S	yes_nonunique	yes	95.62	617.8	no	yes
ERX2260689	hmrM	yes	yes	97.13	33.3	no	yes
ERX2260690	LpsA	yes	yes	99.48	16.6	no	yes
ERX2260690	Pasteurella_multocida_16S	yes_nonunique	yes	95.62	554.1	no	yes
ERX2260690	hmrM	yes	yes	94.7	21.8	no	yes
ERX2260691	Pasteurella_multocida_16S	yes_nonunique	yes	95.36	470.5	no	yes
ERX2260691	hmrM	yes	yes	97.42	45.9	no	yes
ERX2260692	Pasteurella_multocida_16S	yes_nonunique	yes	95.36	583.8	no	yes
ERX2260692	hmrM	yes	yes	94.19	17.5	no	yes
ERX2260693	Haemophilus_influenzae_PBP3	yes	yes	97.71	56.9	yes	yes
ERX2260693	LpsA	yes	yes	98.83	9.0	no	yes
ERX2260693	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	620.1	no	yes
ERX2260693	hmrM	yes	yes	94.48	25.9	no	yes
ERX2260694	LpsA	yes	yes	99.22	22.3	no	yes
ERX2260694	Pasteurella_multocida_16S	yes	yes	95.68	541.2	no	yes
ERX2260694	hmrM	yes	yes	94.48	25.9	no	yes
ERX2260695	LpsA	yes	yes	98.05	8.3	no	yes
ERX2260695	Pasteurella_multocida_16S	yes	yes	95.49	626.2	no	yes
ERX2260695	TEM_-	yes	yes	99.88	86.4	no	yes
ERX2260695	hmrM	yes	yes	94.48	20.2	no	yes
ERX2260696	Haemophilus_influenzae_PBP3	yes	yes	97.71	53.3	yes	yes
ERX2260696	LpsA	yes	yes	98.83	7.3	no	yes
ERX2260696	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	456.6	no	yes
ERX2260696	hmrM	yes	yes	94.48	20.9	no	yes
ERX2260697	LpsA	yes	yes	98.18	9.4	no	yes
ERX2260697	Pasteurella_multocida_16S	yes	yes	95.68	588.3	no	yes
ERX2260697	hmrM	yes	yes	94.48	18.4	no	yes
ERX2260698	Haemophilus_influenzae_PBP3	yes	yes	97.71	59.1	yes	yes
ERX2260698	LpsA	yes	yes	98.83	13.6	no	yes
ERX2260698	Pasteurella_multocida_16S	yes_nonunique	yes	95.37	656.4	no	yes
ERX2260698	hmrM	yes	yes	94.48	23.3	no	yes
ERX2260699	LpsA	yes	yes	99.48	7.3	no	yes
ERX2260699	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	619.1	no	yes
ERX2260699	hmrM	yes	yes	94.34	26.2	no	yes
ERX2260700	APH_3___Ia	yes	yes	100.0	98.6	no	no
ERX2260700	APH_3____Ib	yes_nonunique	yes	99.75	70.3	no	yes
ERX2260700	APH_6__Id	yes	yes	99.88	68.5	no	yes
ERX2260700	LpsA	yes	yes	100.0	12.6	no	no
ERX2260700	Pasteurella_multocida_16S	yes_nonunique	yes	95.68	672.4	no	yes
ERX2260700	TEM_-	yes	yes	99.88	59.0	no	yes
ERX2260700	hmrM	yes	yes	94.34	21.4	no	yes
ERX2260701	Pasteurella_multocida_16S	yes	yes	95.62	636.9	no	yes
ERX2260701	hmrM	yes	yes	94.41	22.8	no	yes
ERX2260702	Haemophilus_influenzae_PBP3	yes	yes	96.34	51.1	yes	yes
ERX2260702	Pasteurella_multocida_16S	yes_nonunique	yes	94.66	478.8	no	yes
ERX2260702	hmrM	yes	yes	99.71	53.8	no	yes
ERX2260703	Haemophilus_influenzae_PBP3	yes	yes	97.71	63.1	yes	yes
ERX2260703	LpsA	yes	yes	98.83	10.3	no	yes
ERX2260703	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	556.4	no	yes
ERX2260703	hmrM	yes	yes	94.48	26.0	no	yes
ERX2260704	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	578.7	no	yes
ERX2260704	hmrM	yes	yes	94.48	20.0	no	yes
ERX2260705	Haemophilus_influenzae_PBP3	yes	yes	97.98	94.3	yes	yes
ERX2260705	Pasteurella_multocida_16S	yes_nonunique	yes	95.2	826.5	no	yes
ERX2260705	hmrM	yes	yes	94.48	23.0	no	yes
ERX2260706	LpsA	yes	yes	98.05	15.2	no	yes
ERX2260706	Pasteurella_multocida_16S	yes	yes	95.62	776.6	no	yes
ERX2260706	hmrM	yes	yes	94.48	26.1	no	yes
ERX2260707	LpsA	yes	yes	94.05	8.6	no	yes
ERX2260707	Pasteurella_multocida_16S	yes	yes	95.43	877.9	no	yes
ERX2260707	hmrM	yes	yes	99.86	64.7	no	yes
ERX2260708	Haemophilus_influenzae_PBP3	yes	yes	97.71	65.1	yes	yes
ERX2260708	LpsA	yes	yes	98.57	15.3	no	yes
ERX2260708	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	697.7	no	yes
ERX2260708	hmrM	yes	yes	94.48	25.6	no	yes
ERX2260709	Haemophilus_influenzae_PBP3	yes	yes	96.18	45.9	yes	yes
ERX2260709	Pasteurella_multocida_16S	yes_nonunique	yes	94.86	803.4	no	yes
ERX2260709	hmrM	yes	yes	95.34	27.1	no	yes
ERX2260710	LpsA	yes	yes	98.31	21.9	no	yes
ERX2260710	Pasteurella_multocida_16S	yes	yes	95.43	586.4	no	yes
ERX2260710	TEM_-	yes	yes	99.88	83.7	no	yes
ERX2260710	hmrM	yes	yes	96.96	38.4	no	yes
ERX2260711	Pasteurella_multocida_16S	yes_nonunique	yes	95.62	803.0	no	yes
ERX2260711	hmrM	yes	yes	94.48	23.9	no	yes
ERX2260712	Haemophilus_influenzae_PBP3	yes	yes	96.18	55.1	yes	yes
ERX2260712	Pasteurella_multocida_16S	yes_nonunique	yes	94.79	660.7	no	yes
ERX2260712	hmrM	yes	yes	99.5	57.5	no	yes
ERX2260713	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	921.4	no	yes
ERX2260713	hmrM	yes	yes	94.41	29.2	no	yes
ERX2260714	Pasteurella_multocida_16S	yes_nonunique	yes	95.44	554.4	no	yes
ERX2260714	hmrM	yes	yes	94.48	22.6	no	yes
ERX2260715	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	718.3	no	yes
ERX2260715	hmrM	yes	yes	94.48	42.3	no	yes
ERX2260716	LpsA	yes	yes	98.05	17.5	no	yes
ERX2260716	Pasteurella_multocida_16S	yes	yes	95.49	691.1	no	yes
ERX2260716	TEM_-	yes	yes	99.88	76.9	no	yes
ERX2260716	hmrM	yes	yes	94.48	21.9	no	yes
ERX2260717	Pasteurella_multocida_16S	yes_nonunique	yes	95.55	747.5	no	yes
ERX2260717	hmrM	yes	yes	94.55	22.8	no	yes
ERX2260718	Haemophilus_influenzae_PBP3	yes	yes	96.13	59.0	yes	yes
ERX2260718	Pasteurella_multocida_16S	yes_nonunique	yes	94.79	622.9	no	yes
ERX2260718	hmrM	yes_nonunique	yes	99.5	51.6	no	yes
ERX2260719	LpsA	yes	yes	100.0	22.6	no	no
ERX2260719	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	745.8	no	yes
ERX2260719	TEM_-	yes	yes	99.88	84.8	no	yes
ERX2260719	hmrM	yes	yes	94.48	26.7	no	yes
ERX2260720	Pasteurella_multocida_16S	yes_nonunique	yes	95.55	632.6	no	yes
ERX2260720	hmrM	yes	yes	94.55	26.5	no	yes
ERX2260721	Pasteurella_multocida_16S	yes_nonunique	yes	95.68	682.0	no	yes
ERX2260721	hmrM	yes	yes	94.41	21.3	no	yes
ERX2260722	LpsA	yes	yes	99.48	16.8	no	yes
ERX2260722	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	778.1	no	yes
ERX2260722	hmrM	yes	yes	94.34	24.9	no	yes
ERX2260723	LpsA	yes	yes	93.9	5.0	no	yes
ERX2260723	Pasteurella_multocida_16S	yes_nonunique	yes	95.44	678.1	no	yes
ERX2260723	hmrM	yes	yes	94.48	25.0	no	yes
