sample_name	HI0867	bexA	bexB	bexC	bexD	bsc1	bsc2	bsc3	bsc4	ctrD	esxA	esxD	farA	fbpA_1	fbpC	galE_1	galU	gmhA_lpcA	hap	hgpC	hhuA	hia	hifA	hifB	hifC	hifD	hifE	hitC	hmw-	hmw-_1	hmw1A	hmw2A	hscA	hscB	htrB	hxuA	hxuB	hxuC	icaD	iga1	kdkA	kdsA	kdsB_1	kdtA_1	kfiC	lgtA	lgtC	lgtF	lic2A	lic3A	licA	licB	licC	licD	lpsA	lpt6	lpxA_1	lpxB_1	lpxC	lpxD_1	lpxH	lpxK	lsgA	lsgB	lsgC	lsgD	lsgE	lsgF	mntB	msbA	msbB	neuA_2	oapA	ompP2	ompP5	opsX_rfaC	orfM	pilF_3	pilI	pilM	pilN	pilO_2	pilT_1	pilX_2	pilZ	recN	rfaD	rfaE	rfaF	rffG	scn	siaA	tbpA_1	tbpB_1	waaQ	wbaP_rfbP	wecA	yhxB_manB
ERX101210	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False	False	False	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101211	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False	True	False	True	False	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101212	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	False	False	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True
ERX101213	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	True	True	False	False	True	True	True	True	False	True	False	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101214	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False	True	False	True	False	False	True	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101215	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	False
ERX101216	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101217	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	True	True	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True
ERX101218	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101219	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	True	True	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True
ERX101220	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	False	True	True	False	False	True	True	True	True	False	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101221	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101222	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101223	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101224	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	False	False	False	True	True	False	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	False	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101225	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	False	True	True	False	False	True	True	True	True	False	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101226	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	True	False	False	True	True	True	True	False	True	False	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101227	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True	False	True	False	False	True	True	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101228	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	False	True	False	True	True
ERX101229	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False	True	False	True	False	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101230	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	True	False	False	True	True	True	True	False	True	False	True	False	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	True	False	True	False	True	True
ERX101231	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True	False	True	False	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True
ERX101232	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True
ERX101233	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True
ERX101234	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	False	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101235	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True	True	False	True	True	True	True
ERX101236	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	True	False	False	True	True	True	True	False	True	False	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101237	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101238	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False	True	False	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101239	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	True	False	False	True	True	True	True	False	True	False	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101240	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	True	True	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True
ERX101241	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True
ERX101242	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False	True	True	True	False	False	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101243	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True
ERX101244	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False	True	False	True	False	False	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101245	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False	False	False	True	False	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101246	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	True	False	False	True	True	True	True	False	True	False	True	False	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101247	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	True	False	True	True	False	False	True	True	True	True	False	False	True	True	False	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	True	True
ERX101248	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False	True	False	True	False	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101249	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	True	True	False	False	True	True	True	True	False	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False
ERX101250	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	False	False	True	True	True	False	False	True	False	True	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101251	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	True	False	True	True	False	False	True	True	True	True	False	False	False	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	True	True
ERX101252	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True	False	True	False	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101253	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	False	False	True	True	True	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
ERX101254	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	True	False
ERX101255	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	False	True	True	True	True	False	True	True	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	True	True
