query	reference	ani	mapped_fragments	total_fragments
GA79872	GA81666	98.3092	579	598
GA76006	GA81666	98.309	583	620
ERX3434304	GA81666	98.3088	559	579
ERX3448906	GA81666	98.3088	570	587
ERX3433998	GA81666	98.3077	563	582
GA87640	GA81666	98.3063	577	597
GA83841	GA81666	98.3049	581	611
SRX6601991	GA81666	98.3048	585	624
GA67073	GA81666	98.3042	585	625
ERX3434239	GA81666	98.3038	538	556
GA78869	GA81666	98.3038	584	624
GA91536	GA81666	98.3026	575	606
ERX3462212	GA81666	98.3021	566	584
GA91534	GA81666	98.3008	578	607
GA54827	GA81666	98.299	587	625
ERX3435796	GA81666	98.2982	559	579
GA71621	GA81666	98.2973	584	622
GA87364	GA81666	98.2968	583	600
GA87536	GA81666	98.2961	577	608
ERX3448846	GA81666	98.2954	561	579
ERX3434110	GA81666	98.2939	561	580
GA81213	GA81666	98.2921	578	608
GA78317	GA81666	98.2811	580	599
ERX3434687	GA81666	98.2803	567	585
GA87875	GA81666	98.2798	579	609
GA87801	GA81666	98.2785	579	597
GA87672	GA81666	98.2621	583	612
SRX4551927	GA81666	98.2612	561	571
ERX3434855	GA81666	98.2569	559	589
SRX4551923	GA81666	98.2454	558	567
ERX101251	GA81666	98.2353	555	576
SRX4551922	GA81666	98.2309	558	570
SRX4551926	GA81666	98.206	554	561
ERX3602226	GA81666	98.1689	579	594
ERX3435210	GA81666	97.6426	561	602
ERX3434789	GA81666	97.6185	562	601
ERX3434184	GA81666	97.6181	562	602
ERX3435537	GA81666	97.6147	561	602
ERX3435211	GA81666	97.6101	560	601
ERX3434846	GA81666	97.6028	562	601
ERX3435151	GA81666	97.6004	564	603
ERX3434463	GA81666	97.5937	535	582
ERX3434823	GA81666	97.59	559	601
ERX3462129	GA81666	97.5899	563	603
ERX3434775	GA81666	97.5891	562	602
ERX3434698	GA81666	97.5875	558	602
ERX3434426	GA81666	97.5869	558	601
ERX3602240	GA81666	97.5781	557	602
ERX3434658	GA81666	97.5765	564	602
ERX3914343	GA81666	97.5739	564	603
ERX3914271	GA81666	97.5679	563	601
ERX101291	GA81666	97.5623	559	596
ERX2260882	GA81666	97.5516	540	578
ERX3529804	GA81666	97.5509	562	602
ERX3434862	GA81666	97.5382	562	603
ERX2579089	GA81666	97.5317	560	615
ERX3434779	GA81666	97.5273	566	625
ERX3434315	GA81666	97.5195	539	581
ERX3434225	GA81666	97.5194	537	581
ERX3434164	GA81666	97.516	538	583
SRX4551893	GA81666	97.5131	548	594
ERX3435645	GA81666	97.5129	547	581
SRX6095774	GA81666	97.5049	519	543
SRX6094435	GA81666	97.5022	502	529
ERX2803994	GA81666	97.5012	506	526
ERX2260806	GA81666	97.499	557	594
SRX6094443	GA81666	97.4985	515	541
SRX6098047	GA81666	97.4981	551	593
ERX2579042	GA81666	97.4952	550	580
SRX6095760	GA81666	97.4949	516	541
ERX2803977	GA81666	97.4944	548	573
SRX6601950	GA81666	97.4912	547	574
SRX6093244	GA81666	97.491	532	558
ERX3435143	GA81666	97.4876	550	581
SRX6098062	GA81666	97.4851	547	576
ERX3529859	GA81666	97.4841	545	576
ERX101233	GA81666	97.4773	555	612
SRX4551982	GA81666	97.4768	556	609
SRX6602140	GA81666	97.4768	545	583
SRX6095762	GA81666	97.4755	547	589
SRX6601870	GA81666	97.4741	552	575
DRX014159	GA81666	97.4724	542	580
ERX3435185	GA81666	97.4724	553	604
ERX2804059	GA81666	97.4715	541	569
GCF_002073475	GA81666	97.4671	555	610
ERX2260926	GA81666	97.4654	550	606
SRX6095771	GA81666	97.465	512	534
GCF_003351465	GA81666	97.4627	559	605
SRX6095755	GA81666	97.4611	546	574
ERX3434960	GA81666	97.4609	548	595
ERX101270	GA81666	97.4595	550	576
SRX4551892	GA81666	97.4565	551	602
SRX6602175	GA81666	97.4557	545	586
ERX3914436	GA81666	97.4544	568	614
SRX738048	GA81666	97.454	537	588
ERX3448736	GA81666	97.4538	541	571
ERX3435509	GA81666	97.453	553	582
SRX6094453	GA81666	97.4521	530	555
SRX6095770	GA81666	97.4517	550	580
SRX6601627	GA81666	97.4517	544	587
SRX6602097	GA81666	97.4511	546	588
ERX3435458	GA81666	97.4508	551	593
ERX2260750	GA81666	97.4507	548	607
ERX3435094	GA81666	97.4497	568	616
ERX3435044	GA81666	97.4435	551	594
ERX101245	GA81666	97.4429	542	567
ERX2260780	GA81666	97.4425	516	531
ERX2803973	GA81666	97.4425	561	608
SRX6095767	GA81666	97.4413	548	577
ERX3434882	GA81666	97.4411	543	588
SRX4551975	GA81666	97.4397	549	587
ERX3448922	GA81666	97.4391	548	576
ERX3434857	GA81666	97.4377	571	618
ERX3435805	GA81666	97.4368	554	581
ERX3435161	GA81666	97.435	543	595
SRX4551930	GA81666	97.4347	543	578
SRX6094438	GA81666	97.4341	550	577
SRX6094460	GA81666	97.4326	518	560
SRX6601727	GA81666	97.4325	547	587
SRX6094448	GA81666	97.431	532	554
SRX6094446	GA81666	97.4299	511	550
SRX6094462	GA81666	97.4299	489	520
ERX3435054	GA81666	97.4298	527	574
SRX6601785	GA81666	97.4297	551	577
ERX3434800	GA81666	97.4295	571	617
SRX6601665	GA81666	97.4283	551	584
SRX6098045	GA81666	97.428	549	576
SRX6098052	GA81666	97.4254	552	578
SRX6093245	GA81666	97.424	553	579
SRX6094434	GA81666	97.424	552	578
ERX3434822	GA81666	97.4235	545	577
ERX101261	GA81666	97.4234	556	601
ERX2803970	GA81666	97.4223	463	505
SRX6601902	GA81666	97.4223	549	586
ERX3434847	GA81666	97.4222	541	569
SRX6098039	GA81666	97.4215	551	578
ERX3435023	GA81666	97.4213	546	590
ERX3448810	GA81666	97.4212	541	586
GCF_001856725	GA81666	97.4208	563	609
GCF_900635795	GA81666	97.4204	565	620
ERX3434848	GA81666	97.4202	564	593
ERX2260936	GA81666	97.4196	545	629
SRX6095773	GA81666	97.4194	514	540
SRX6095753	GA81666	97.4193	521	543
ERX3435132	GA81666	97.4191	545	588
GA83906	GA81666	97.4187	558	619
SRX6602222	GA81666	97.4178	551	577
ERX3434785	GA81666	97.4174	551	581
ERX3434861	GA81666	97.4174	562	634
ERX3529792	GA81666	97.4174	564	591
ERX3435518	GA81666	97.4173	548	593
SRX6098054	GA81666	97.4169	552	577
SRX6601769	GA81666	97.4168	551	578
SRX6095778	GA81666	97.4166	551	578
ERX3448858	GA81666	97.4159	565	593
SRX6093252	GA81666	97.4153	551	577
ERX3914286	GA81666	97.4145	551	581
ERX3914493	GA81666	97.4145	552	592
SRX6601757	GA81666	97.4139	547	591
GCF_000210875	GA81666	97.4124	561	660
ERX3435581	GA81666	97.4123	545	577
ERX3462055	GA81666	97.412	545	592
ERX3914446	GA81666	97.4117	547	577
SRX6098330	GA81666	97.4115	551	576
SRX6095772	GA81666	97.4109	551	578
SRX6098342	GA81666	97.4105	552	579
SRX6098341	GA81666	97.4102	536	569
SRX6098331	GA81666	97.4101	552	578
GA91339	GA81666	97.4088	549	579
SRX6601734	GA81666	97.4085	547	600
ERX3914169	GA81666	97.4084	561	598
SRX6098334	GA81666	97.4078	540	568
SRX6094447	GA81666	97.4074	550	578
ERX3602209	GA81666	97.407	541	592
SRX6094439	GA81666	97.4069	553	579
GCF_003351605	GA81666	97.4068	564	601
ERX3529838	GA81666	97.4061	563	621
SRX6098060	GA81666	97.4056	551	578
ERX3435460	GA81666	97.4055	543	596
ERX2579112	GA81666	97.4051	544	591
SRX6601667	GA81666	97.4047	549	590
ERX101288	GA81666	97.4046	538	572
ERX2260737	GA81666	97.4044	555	605
SRX6095763	GA81666	97.4041	551	589
SRX6098340	GA81666	97.4038	552	578
ERX101279	GA81666	97.4018	534	579
SRX6602247	GA81666	97.4016	549	601
SRX4551974	GA81666	97.4015	553	591
SRX6601913	GA81666	97.4015	547	602
ERX2260881	GA81666	97.401	542	572
SRX6601635	GA81666	97.4006	544	593
SRX6601994	GA81666	97.4001	553	578
ERX3529843	GA81666	97.4	562	610
ERX3434047	GA81666	97.3998	548	597
SRX6098338	GA81666	97.3995	532	568
ERX3435595	GA81666	97.3991	547	596
SRX6093248	GA81666	97.3989	554	580
ERX2260793	GA81666	97.3986	527	564
ERX3434691	GA81666	97.3986	551	605
ERX3433950	GA81666	97.3984	548	598
ERX3449252	GA81666	97.3984	548	597
ERX3435030	GA81666	97.3982	553	599
SRX6095779	GA81666	97.3982	552	579
SRX6093251	GA81666	97.3977	552	577
SRX6095776	GA81666	97.3977	506	544
ERX3435801	GA81666	97.3976	554	600
ERX3462197	GA81666	97.3972	556	600
ERX3970846	GA81666	97.397	541	586
SRX6098328	GA81666	97.3969	551	589
GCF_008831525	GA81666	97.3968	571	629
SRX9274433	GA81666	97.3961	367	384
SRX6098058	GA81666	97.396	552	579
SRX6602150	GA81666	97.3958	544	595
SRX6098325	GA81666	97.3956	553	578
ERX3434905	GA81666	97.3954	547	588
SRX6095758	GA81666	97.3947	552	578
DRX233551	GA81666	97.3944	545	573
SRX6095761	GA81666	97.3943	551	577
SRX6601860	GA81666	97.3938	540	596
ERX3434965	GA81666	97.3934	564	612
SRX6098337	GA81666	97.3934	552	577
ERX3434227	GA81666	97.3932	525	552
ERX3434782	GA81666	97.3932	563	599
SRX6098326	GA81666	97.3926	552	577
SRX6095768	GA81666	97.3922	549	576
ERX3435071	GA81666	97.3919	552	600
ERX3434906	GA81666	97.3915	559	602
ERX2579043	GA81666	97.3913	547	594
ERX3914479	GA81666	97.3909	557	596
ERX2260909	GA81666	97.3906	534	586
ERX3434276	GA81666	97.3905	554	590
ERX3434939	GA81666	97.3903	551	599
SRX6095765	GA81666	97.3902	534	582
SRX4551996	GA81666	97.3899	539	572
GA54125	GA81666	97.389	545	580
DRX225218	GA81666	97.3886	550	596
ERX3435579	GA81666	97.3882	549	603
SRX6094454	GA81666	97.3882	523	575
ERX3914165	GA81666	97.3881	551	597
SRX6098056	GA81666	97.3872	551	577
GCF_900478275	GA81666	97.3868	560	630
ERX101274	GA81666	97.3867	538	581
ERX3435089	GA81666	97.3867	559	624
GA87655	GA81666	97.3867	558	589
ERX3435075	GA81666	97.3863	547	595
SRX6098055	GA81666	97.3851	556	594
SRX6601980	GA81666	97.3848	547	584
ERX3434713	GA81666	97.3847	556	618
ERX3434269	GA81666	97.3845	549	586
SRX6602096	GA81666	97.384	549	604
ERX3435520	GA81666	97.3839	545	595
ERX3434989	GA81666	97.3837	553	600
ERX3602157	GA81666	97.3831	564	610
ERX3435139	GA81666	97.3828	544	595
ERX3435598	GA81666	97.3822	525	554
ERX2579078	GA81666	97.3821	572	633
ERX3434923	GA81666	97.3817	545	596
GCF_014701215	GA81666	97.3816	564	603
ERX3448796	GA81666	97.3815	568	633
ERX3434736	GA81666	97.3814	549	596
ERX3448844	GA81666	97.3814	543	579
SRX6098061	GA81666	97.3814	554	593
SRX6094433	GA81666	97.3813	552	577
ERX101208	GA81666	97.3812	544	580
SRX4551953	GA81666	97.3809	545	580
SRX6098043	GA81666	97.3809	554	579
ERX3462067	GA81666	97.3808	560	597
ERX3602192	GA81666	97.3808	555	579
ERX101267	GA81666	97.3807	538	579
ERX2260951	GA81666	97.3806	545	590
ERX2803989	GA81666	97.3806	535	574
GA81494	GA81666	97.3806	547	601
GCF_003425625	GA81666	97.3805	568	611
ERX3435708	GA81666	97.3802	549	602
ERX2579066	GA81666	97.3801	541	580
ERX3529839	GA81666	97.3801	564	610
ERX2260762	GA81666	97.38	522	590
SRX6601907	GA81666	97.3797	544	618
SRX6095769	GA81666	97.3794	553	577
ERX3914344	GA81666	97.3792	546	593
ERX2804014	GA81666	97.3791	543	587
ERX3462100	GA81666	97.379	547	584
ERX3434783	GA81666	97.3788	551	580
SRX6602098	GA81666	97.3788	549	602
ERX2579107	GA81666	97.3785	543	571
SRX6095756	GA81666	97.3784	554	578
SRX6601871	GA81666	97.3783	541	598
ERX3434711	GA81666	97.3777	547	595
SRX6601967	GA81666	97.3775	542	582
GA60421	GA81666	97.3773	547	602
SRX6098336	GA81666	97.377	552	579
SRX6098038	GA81666	97.3769	553	577
ERX3435062	GA81666	97.3766	549	605
SRX6098037	GA81666	97.3765	553	577
ERX3462293	GA81666	97.376	548	595
SRX6098044	GA81666	97.3759	549	576
SRX6098322	GA81666	97.3759	554	578
ERX3529784	GA81666	97.3754	554	602
SRX6098059	GA81666	97.3752	554	579
SRX6602111	GA81666	97.375	552	594
SRX6602113	GA81666	97.375	542	585
SRX6602042	GA81666	97.3742	550	585
ERX2579094	GA81666	97.3741	546	572
ERX3435639	GA81666	97.3741	551	581
ERX2260885	GA81666	97.374	547	596
SRX5735830	GA81666	97.374	542	591
ERX3462082	GA81666	97.3739	555	601
SRX6602024	GA81666	97.3737	548	593
SRX1530109	GA81666	97.3735	535	579
SRX6602075	GA81666	97.3732	563	610
ERX3448745	GA81666	97.3731	550	606
SRX6093246	GA81666	97.3731	556	595
ERX2579075	GA81666	97.3728	547	604
ERX101292	GA81666	97.3726	550	600
SRX6601722	GA81666	97.3726	556	578
ERX3434347	GA81666	97.3724	546	595
ERX3448998	GA81666	97.3723	565	611
SRX6098040	GA81666	97.3718	550	576
ERX3602182	GA81666	97.3717	547	580
ERX3914419	GA81666	97.3715	531	560
ERX2803976	GA81666	97.3712	553	590
ERX3529840	GA81666	97.3712	564	609
SRX6095780	GA81666	97.3705	526	550
ERX2579057	GA81666	97.3704	542	602
ERX2579122	GA81666	97.3704	551	598
GCF_003425815	GA81666	97.3701	560	613
SRX4576211	GA81666	97.3701	542	583
ERX3434317	GA81666	97.3699	548	595
ERX2260756	GA81666	97.3697	527	564
ERX3435059	GA81666	97.3696	541	608
ERX2579045	GA81666	97.3694	541	604
ERX3434421	GA81666	97.3694	553	598
ERX3448910	GA81666	97.3694	562	629
ERX3461996	GA81666	97.3694	553	600
ERX3435729	GA81666	97.3693	554	589
ERX3435072	GA81666	97.3691	557	630
SRX6098344	GA81666	97.3691	552	575
ERX3914131	GA81666	97.3689	543	578
ERX3434708	GA81666	97.3686	558	615
ERX3435654	GA81666	97.3682	554	588
SRX4576209	GA81666	97.3682	541	582
ERX2579041	GA81666	97.368	544	618
ERX2260715	GA81666	97.3678	540	576
ERX3435653	GA81666	97.3678	556	590
SRX6602058	GA81666	97.3673	551	621
SRX6098323	GA81666	97.3671	552	590
ERX2579062	GA81666	97.367	548	601
ERX2260914	GA81666	97.3664	542	575
ERX3435138	GA81666	97.3664	558	625
ERX3914227	GA81666	97.3664	564	629
SRX6601992	GA81666	97.366	546	585
ERX3435813	GA81666	97.3659	564	613
SRX6602101	GA81666	97.3659	552	577
ERX3434950	GA81666	97.3658	555	589
SRX6601998	GA81666	97.3657	552	593
ERX3462172	GA81666	97.3653	546	605
SRX6602117	GA81666	97.3651	547	593
ERX3434692	GA81666	97.3649	569	630
ERX101246	GA81666	97.3647	544	593
ERX2804013	GA81666	97.3646	549	591
ERX2260895	GA81666	97.3645	544	598
ERX3434942	GA81666	97.3644	549	607
ERX3448875	GA81666	97.3643	555	589
ERX2804054	GA81666	97.3642	540	586
ERX3462169	GA81666	97.3641	551	602
GA56108	GA81666	97.3641	567	621
ERX2804046	GA81666	97.3629	545	587
SRX4576202	GA81666	97.3628	542	582
SRX6601857	GA81666	97.3628	546	591
ERX3434831	GA81666	97.3627	546	597
ERX3602174	GA81666	97.3626	542	580
ERX3434981	GA81666	97.3625	547	593
ERX2260925	GA81666	97.3624	563	609
GA58830	GA81666	97.3622	548	607
SRX4551895	GA81666	97.3622	319	336
ERX3435069	GA81666	97.3621	554	600
ERX2803933	GA81666	97.362	544	608
SRX6094455	GA81666	97.3619	530	552
GA91328	GA81666	97.3618	556	586
ERX2579048	GA81666	97.3614	546	606
ERX3448913	GA81666	97.3612	530	575
ERX3434811	GA81666	97.3611	552	604
SRX6094442	GA81666	97.3602	547	594
ERX3434485	GA81666	97.3601	531	573
SRX6098041	GA81666	97.3601	552	576
ERX3434418	GA81666	97.3599	569	621
ERX3448918	GA81666	97.3598	542	580
SRX6093250	GA81666	97.3597	545	570
ERX2260738	GA81666	97.3595	544	592
ERX2260943	GA81666	97.3594	560	601
ERX2260884	GA81666	97.3591	547	603
SRX1530101	GA81666	97.3584	526	570
SRX6601812	GA81666	97.3584	552	579
SRX6602128	GA81666	97.3583	548	593
ERX3434738	GA81666	97.3581	552	599
ERX3435013	GA81666	97.3576	570	631
GCF_016861285	GA81666	97.3573	564	617
ERX3448920	GA81666	97.3571	556	596
ERX3434098	GA81666	97.357	553	605
GA67098	GA81666	97.357	553	598
ERX3434784	GA81666	97.3569	555	583
ERX302982	GA81666	97.3567	543	590
ERX2579059	GA81666	97.3566	546	605
SRX6601781	GA81666	97.3566	559	609
SRX6602246	GA81666	97.3564	559	598
ERX3462317	GA81666	97.3563	551	597
SRX6601975	GA81666	97.3563	543	585
ERX3434802	GA81666	97.3562	551	597
SRX2088165	GA81666	97.3561	543	590
SRX6094449	GA81666	97.3561	553	577
SRX6602200	GA81666	97.3558	554	579
ERX3435459	GA81666	97.3553	554	599
ERX3914317	GA81666	97.3552	552	599
SRX6601845	GA81666	97.3552	552	596
SRX6602081	GA81666	97.3551	549	594
ERX3970824	GA81666	97.3547	525	573
GCF_003425445	GA81666	97.3545	556	612
SRX2104758	GA81666	97.3545	537	582
SRX6095775	GA81666	97.3542	552	596
ERX3914272	GA81666	97.3537	554	606
SRX6601656	GA81666	97.3535	556	610
ERX2260904	GA81666	97.3534	544	580
ERX3434702	GA81666	97.3534	544	592
SRX6098327	GA81666	97.3533	554	579
SRX6602048	GA81666	97.3532	550	595
ERX3435033	GA81666	97.353	561	597
ERX2260837	GA81666	97.3529	552	588
ERX2803978	GA81666	97.3529	542	587
ERX2579044	GA81666	97.3525	544	603
SRX6601775	GA81666	97.3523	550	596
ERX4159227	GA81666	97.3521	547	602
ERX2803952	GA81666	97.352	544	579
ERX2803961	GA81666	97.3519	539	590
ERX3434218	GA81666	97.3518	532	573
ERX3529788	GA81666	97.3517	549	582
ERX3435043	GA81666	97.3516	550	605
SRX6098051	GA81666	97.351	553	598
SRX6601708	GA81666	97.351	552	595
ERX2804052	GA81666	97.3507	512	544
ERX3529831	GA81666	97.3507	558	601
SRX6601917	GA81666	97.3507	548	601
ERX3435137	GA81666	97.3502	529	577
SRX1530113	GA81666	97.3501	536	581
SRX6601714	GA81666	97.3501	550	594
GCF_900635805	GA81666	97.3499	563	626
GA87263	GA81666	97.3497	576	636
ERX2579064	GA81666	97.3496	547	592
ERX2579121	GA81666	97.3492	547	608
SRX6093249	GA81666	97.349	556	581
ERX3448789	GA81666	97.3488	554	605
SRX6098048	GA81666	97.3488	557	595
ERX3435135	GA81666	97.3483	552	600
GA71979	GA81666	97.3483	549	610
SRX6602253	GA81666	97.3483	549	594
SRX1530100	GA81666	97.3481	537	580
SRX6095754	GA81666	97.3474	552	576
ERX3434154	GA81666	97.3473	564	630
ERX2260692	GA81666	97.3472	543	582
ERX3434011	GA81666	97.3472	546	603
ERX3434931	GA81666	97.3472	546	594
ERX3435794	GA81666	97.3471	531	582
SRX2764931	GA81666	97.3471	546	598
SRX6602050	GA81666	97.3469	557	580
ERX2260950	GA81666	97.3465	554	613
SRX6601873	GA81666	97.3464	546	605
SRX6602036	GA81666	97.3464	551	596
ERX3434886	GA81666	97.3463	525	560
SRX6098050	GA81666	97.3461	548	594
ERX3435575	GA81666	97.3457	551	599
SRX6601984	GA81666	97.3457	559	608
SRX6602186	GA81666	97.3457	546	602
SRX6601787	GA81666	97.3449	558	605
ERX3435444	GA81666	97.3446	541	575
ERX3461958	GA81666	97.3446	528	556
ERX3434786	GA81666	97.3445	523	558
ERX3434985	GA81666	97.3445	552	598
ERX3434742	GA81666	97.3444	533	584
ERX4159173	GA81666	97.3444	565	623
ERX3462051	GA81666	97.3442	571	635
SRX6098321	GA81666	97.3441	554	578
ERX101268	GA81666	97.3439	547	573
ERX2579093	GA81666	97.3438	545	586
ERX3448803	GA81666	97.3437	563	630
ERX2804053	GA81666	97.3436	546	588
ERX3602205	GA81666	97.3434	548	606
ERX3434755	GA81666	97.3433	547	595
ERX2804039	GA81666	97.343	531	587
ERX2579046	GA81666	97.3427	545	611
ERX2260890	GA81666	97.3426	544	580
ERX3602225	GA81666	97.3426	550	589
SRX6601724	GA81666	97.3426	555	581
ERX3435597	GA81666	97.342	569	630
ERX3434720	GA81666	97.3415	570	620
ERX3434405	GA81666	97.3414	556	589
SRX4551905	GA81666	97.3412	548	582
ERX3434879	GA81666	97.341	557	592
SRX6602137	GA81666	97.3409	564	615
SRX6098324	GA81666	97.3407	552	598
GCF_014931495	GA81666	97.3397	575	631
ERX3462229	GA81666	97.3395	560	607
ERX3448907	GA81666	97.3394	537	579
ERX2579119	GA81666	97.3389	561	602
ERX3435720	GA81666	97.3386	547	601
ERX2579114	GA81666	97.3385	561	624
ERX3461968	GA81666	97.3385	553	599
ERX2804042	GA81666	97.3384	540	608
ERX3435576	GA81666	97.3384	553	600
GA83679	GA81666	97.3383	550	600
ERX3529816	GA81666	97.3382	567	607
SRX6601640	GA81666	97.3382	551	590
ERX3602197	GA81666	97.3379	549	603
ERX2579058	GA81666	97.3378	547	606
SRX9274400	GA81666	97.3375	461	491
ERX2804023	GA81666	97.3374	526	575
SRX7845433	GA81666	97.3373	546	604
ERX101263	GA81666	97.3369	552	594
ERX2579060	GA81666	97.3369	550	585
ERX3434705	GA81666	97.3368	566	624
ERX3435503	GA81666	97.3367	550	595
ERX3462068	GA81666	97.3362	551	599
SRX6601796	GA81666	97.3362	546	593
ERX3914174	GA81666	97.3359	572	624
ERX3448808	GA81666	97.3358	536	572
SRX6602026	GA81666	97.3355	547	592
ERX2260867	GA81666	97.3354	547	590
ERX3435578	GA81666	97.3354	553	588
SRX6098053	GA81666	97.3353	554	577
ERX3435591	GA81666	97.3352	520	555
ERX3434982	GA81666	97.3351	566	611
ERX2260797	GA81666	97.3346	556	612
ERX2260781	GA81666	97.3344	528	559
SRX6098335	GA81666	97.3344	547	581
SRX6601900	GA81666	97.3344	551	608
ERX3434053	GA81666	97.3339	551	600
ERX3914467	GA81666	97.3336	554	600
SRX2764932	GA81666	97.3335	548	600
SRX6094436	GA81666	97.3335	554	577
ERX3461970	GA81666	97.3332	553	598
ERX3435064	GA81666	97.3324	550	599
ERX2260699	GA81666	97.3323	535	570
ERX3448732	GA81666	97.3323	558	624
ERX3434914	GA81666	97.3322	578	640
ERX3435525	GA81666	97.3321	567	623
ERX3448929	GA81666	97.3319	547	576
SRX6601875	GA81666	97.3318	547	603
ERX3434920	GA81666	97.3312	546	600
ERX3448794	GA81666	97.3311	555	596
ERX3355537	GA81666	97.331	548	595
ERX3434776	GA81666	97.331	549	600
ERX3434797	GA81666	97.3308	554	596
ERX3529869	GA81666	97.3308	548	603
ERX2260769	GA81666	97.3307	543	570
ERX3434107	GA81666	97.3307	557	604
SRX6094457	GA81666	97.3307	551	597
SRX6601718	GA81666	97.3306	550	588
ERX3434359	GA81666	97.3305	555	600
ERX3602228	GA81666	97.3303	558	635
ERX3462060	GA81666	97.33	569	621
ERX2804049	GA81666	97.3295	501	550
SRX6095759	GA81666	97.3292	554	597
SRX6601793	GA81666	97.3292	554	597
ERX3914357	GA81666	97.3289	574	621
SRX4551943	GA81666	97.3289	538	581
ERX2579117	GA81666	97.3288	560	622
ERX3448797	GA81666	97.3287	559	600
ERX2579049	GA81666	97.3286	555	589
ERX3435126	GA81666	97.3286	547	582
ERX3529822	GA81666	97.3285	550	592
SRX1530108	GA81666	97.3285	533	577
ERX3434746	GA81666	97.3284	566	628
SRX4576178	GA81666	97.3284	552	609
SRX6094440	GA81666	97.3281	552	594
SRX6602003	GA81666	97.3279	553	596
ERX3434749	GA81666	97.3276	561	613
ERX3914441	GA81666	97.3273	557	609
ERX4159203	GA81666	97.3273	561	617
SRX6602122	GA81666	97.3272	549	596
ERX3914282	GA81666	97.327	544	616
SRX6094452	GA81666	97.3267	553	596
GA81034	GA81666	97.3266	549	611
ERX3602208	GA81666	97.3263	547	602
ERX3602204	GA81666	97.3262	548	592
ERX3433985	GA81666	97.326	546	602
SRX6602062	GA81666	97.326	556	591
SRX6601622	GA81666	97.3257	554	593
ERX3434148	GA81666	97.3256	566	611
