gene_family	percent_all	percent_c1	percent_c2	percent_neither	info	product	c1_samples	c2_camples	neither_samples	clusters
g01580	97.96	96.15	100.00	0	both	helix-turn-helix transcriptional regulator(48)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01765,GA60748_01654,GA67073_01726,GA71389_01756,GA71621_01648,GA71663_01745,GA74349_01751,GA76006_01714,GA78317_01609,GA78869_01611,GA79872_01499,GA81213_01658,GA81566_01082,GA81665_01487,GA81666_01723,GA83348_01679,GA83349_01558,GA83357_01650,GA83431_01612,GA83447_01347,GA83571_01533,GA83705_01487,GA83706_01848,GA83841_01730,GA83842A_01502,GA83842B_01501,GA83874_01251,GA83882_01506,GA87003_01500,GA87176_01603,GA87262_01530,GA87363_01560,GA87364_01425,GA87424_01444,GA87536_01662,GA87620_01610,GA87639_01536,GA87640_01619,GA87672_01689,GA87697_01528,GA87801_01615,GA87875_01496,GA91113_01656,GA91241_01541,GA91506_01528,GA91534_01415,GA91536_01661,GA95071_01446
g01642	97.96	96.15	100.00	0	both	ribosome biogenesis GTPase Der(48)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01418,GA60748_01525,GA67073_01536,GA71389_01534,GA71621_01459,GA71663_01458,GA74349_01437,GA76006_01339,GA78317_01458,GA78869_01554,GA79872_01367,GA81213_01397,GA81566_01226,GA81665_01347,GA81666_01281,GA83348_01287,GA83349_01514,GA83357_01384,GA83431_01485,GA83447_01207,GA83469_01297,GA83571_01489,GA83705_01347,GA83841_01477,GA83842A_01384,GA83842B_01318,GA83874_01193,GA83882_01282,GA87003_01317,GA87176_01517,GA87262_01412,GA87363_01516,GA87364_01382,GA87424_01409,GA87536_01439,GA87620_01483,GA87639_01313,GA87640_01363,GA87672_01579,GA87697_01484,GA87801_01464,GA87875_01438,GA91113_01570,GA91241_01455,GA91506_01484,GA91534_01722,GA91536_01717,GA95071_01359
g01595	97.96	96.15	100.00	0	both	hypothetical protein(48)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00009,GA60748_00075,GA67073_00009,GA71389_00009,GA71621_00010,GA71663_00009,GA74349_00009,GA76006_00858,GA78317_00439,GA78869_00009,GA79872_00002,GA81213_01049,GA81566_01738,GA81665_00075,GA81666_00075,GA83348_00075,GA83349_01037,GA83357_00002,GA83431_01104,GA83447_00979,GA83469_00953,GA83571_00075,GA83705_00075,GA83706_00873,GA83841_00002,GA83842A_01074,GA83842B_00075,GA83874_01464,GA83882_01068,GA87003_00075,GA87176_00075,GA87262_00075,GA87363_01029,GA87364_00002,GA87424_01268,GA87536_00247,GA87620_01102,GA87639_01099,GA87640_00002,GA87672_00439,GA87697_00076,GA87801_01116,GA87875_01634,GA91113_01083,GA91241_00968,GA91506_01103,GA91534_00897,GA91536_00847
g01265	97.96	96.15	100.00	0	both	shikimate dehydrogenase(48)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01761,GA60748_01658,GA67073_01722,GA71389_01752,GA71621_01644,GA71663_01741,GA74349_01747,GA76006_01710,GA78317_01613,GA78869_01607,GA79872_01495,GA81213_01662,GA81566_01078,GA81665_01483,GA81666_01719,GA83348_01675,GA83349_01554,GA83357_01654,GA83431_01608,GA83447_01343,GA83469_01387,GA83571_01529,GA83705_01483,GA83841_01726,GA83842A_01498,GA83842B_01505,GA83874_01247,GA83882_01502,GA87003_01504,GA87176_01607,GA87262_01526,GA87363_01556,GA87364_01421,GA87424_01440,GA87536_01666,GA87620_01606,GA87639_01532,GA87640_01623,GA87672_01693,GA87697_01524,GA87801_01619,GA87875_01492,GA91113_01660,GA91241_01545,GA91506_01524,GA91534_01411,GA91536_01665,GA95071_01450
g01205_1	97.96	96.15	100.00	0	both	HNH endonuclease(44):KilA-N domain-containing protein(5)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01206,GA60748_00065,GA67073_01193,GA71389_01192,GA71621_00001;GA71621_01117,GA71663_01116,GA74349_01095,GA76006_00849,GA78317_00428,GA78869_01210,GA79872_01610,GA81213_01606,GA81566_01428,GA81665_00065,GA81666_00065,GA83348_00065,GA83349_01027,GA83357_01581,GA83431_01094,GA83447_00969,GA83469_00944,GA83571_00065,GA83705_00065,GA83706_00864,GA83841_01617,GA83842A_01064,GA83842B_00065,GA83874_01591,GA83882_01058,GA87003_00065,GA87176_00065,GA87262_00065,GA87363_01019,GA87364_01671,GA87424_01258,GA87536_00236,GA87620_01092,GA87639_01089,GA87640_01561,GA87672_00428,GA87697_00066,GA87801_00427,GA87875_01220,GA91113_01073,GA91241_00958,GA91506_01093,GA91534_01603,GA91536_01572
g01599_1	97.96	100.00	95.65	0	both	hypothetical protein(48)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00784,GA60748_00717,GA67073_00787,GA71389_00786,GA71621_00787,GA71663_00786,GA74349_00787,GA78317_00235,GA78869_00787,GA79872_01026,GA81213_00915,GA81566_00758,GA81665_00719,GA81666_00683,GA83348_00719,GA83349_00096,GA83357_01204,GA83431_00514,GA83447_00474,GA83469_01450,GA83571_00721,GA83705_00719,GA83706_00096,GA83841_01171,GA83842A_00514,GA83842B_00719,GA83874_00235,GA83882_00476,GA87003_00719,GA87176_01172,GA87262_00719,GA87363_00096,GA87364_01202,GA87424_00513,GA87536_00043,GA87620_00513,GA87639_00512,GA87640_01183,GA87672_00235,GA87697_00720,GA87801_00234,GA87875_01027,GA91113_00096,GA91241_00096,GA91506_00513,GA91534_01204,GA91536_01155,GA95071_00464
g01755	97.96	96.15	100.00	0	both	flavodoxin FldA(48)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01362,GA60748_01470,GA67073_01480,GA71389_01478,GA71621_01403,GA71663_01402,GA74349_01381,GA76006_01283,GA78317_01402,GA78869_01498,GA79872_01311,GA81213_01341,GA81566_01170,GA81665_01292,GA81666_01226,GA83348_01232,GA83349_01459,GA83357_01328,GA83431_01430,GA83447_01152,GA83469_01242,GA83571_01434,GA83705_01292,GA83841_01421,GA83842A_01329,GA83842B_01263,GA83874_01137,GA83882_01227,GA87003_01262,GA87176_01462,GA87262_01357,GA87363_01461,GA87364_01326,GA87424_01354,GA87536_01383,GA87620_01428,GA87639_01258,GA87640_01307,GA87672_01523,GA87697_01429,GA87801_01408,GA87875_01382,GA91113_01515,GA91241_01400,GA91506_01429,GA91534_01492,GA91536_01365,GA95071_01304
g01227_2	97.96	100.00	95.65	0	both	NTP transferase domain-containing protein(48)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00883,GA60748_01709,GA67073_00886,GA71389_00885,GA71663_01562,GA74349_01541,GA76006_01453,GA78317_00334,GA78869_00886,GA79872_01125,GA81213_01014,GA81566_01334,GA81665_01698,GA81666_01436,GA83348_01628,GA83349_01698,GA83357_01487,GA83431_01698,GA83447_01635,GA83469_01702,GA83571_01672,GA83705_01697,GA83706_01706,GA83841_01669,GA83842A_01724,GA83842B_01752,GA83874_00334,GA83882_01700,GA87003_01709,GA87176_01711,GA87262_01687,GA87363_01699,GA87364_01577,GA87424_01687,GA87536_00142,GA87620_01696,GA87639_01693,GA87640_01467,GA87672_00334,GA87697_01698,GA87801_00333,GA87875_01126,GA91113_01711,GA91241_01721,GA91506_01750,GA91534_01660,GA91536_01625,GA95071_01737
g01209_1	97.96	96.15	100.00	0	both	phage tail protein(25):tail fiber protein(24)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00931,GA60748_01572,GA67073_00934,GA71389_00933,GA71621_01663,GA71663_01610,GA74349_01589,GA76006_01602,GA78317_00382,GA78869_00934,GA79872_01564,GA81213_01560,GA81566_01382,GA81665_01610,GA81666_01532,GA83348_01468,GA83349_01331,GA83357_01535,GA83431_01302,GA83447_01470,GA83571_01306,GA83705_01610,GA83706_01597,GA83841_01570,GA83842A_01625,GA83842B_01593,GA83874_01545,GA83882_01629,GA87003_01592,GA87176_01334,GA87262_01653,GA87363_01333,GA87364_01625,GA87424_01094,GA87536_00190,GA87620_01300,GA87639_01659,GA87640_01515,GA87672_00382,GA87697_01301,GA87801_00381,GA87875_01174,GA91113_01387,GA91241_01166,GA91506_01301,GA91534_01557,GA91536_01526,GA95071_01046;GA95071_01592
g01289	97.96	96.15	100.00	0	both	succinate dehydrogenase assembly factor 2(48)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01799,GA60748_01760,GA67073_01690,GA71389_01807,GA71621_01612,GA71663_01709,GA74349_01813,GA76006_01809,GA78317_01645,GA78869_01575,GA79872_01707,GA81213_01748,GA81566_01046,GA81665_01760,GA81666_01762,GA83348_01746,GA83349_01760,GA83357_01686,GA83431_01759,GA83447_01759,GA83469_01752,GA83571_01762,GA83705_01758,GA83841_01764,GA83842A_01798,GA83842B_01802,GA83874_01214,GA83882_01762,GA87003_01760,GA87176_01761,GA87262_01756,GA87363_01760,GA87364_01711,GA87424_01745,GA87536_01749,GA87620_01757,GA87639_01744,GA87640_01695,GA87672_01748,GA87697_01759,GA87801_01703,GA87875_01459,GA91113_01761,GA91241_01799,GA91506_01755,GA91534_01746,GA91536_01748,GA95071_01788
