sample	estimated_genome_size	is_paired	original_total_bp	original_coverage	original_read_total	original_read_min	original_read_mean	original_read_std	original_read_median	original_read_max	original_read_25th	original_read_75th	original_qual_min	original_qual_mean	original_qual_std	original_qual_max	original_qual_median	original_qual_25th	original_qual_75th	final_total_bp	final_coverage	final_read_total	final_read_min	final_read_mean	final_read_std	final_read_median	final_read_max	final_read_25th	final_read_75th	final_qual_min	final_qual_mean	final_qual_std	final_qual_max	final_qual_median	final_qual_25th	final_qual_75th	contig_non_acgtn	contig_percent_a	contig_percent_c	contig_percent_g	contig_percent_n	contig_percent_t	contigs_greater_100k	contigs_greater_10k	contigs_greater_1k	contigs_greater_1m	l50_contig_count	max_contig_length	mean_contig_length	median_contig_length	min_contig_length	n50_contig_length	num_contig_non_acgtn	percent_contigs_greater_100k	percent_contigs_greater_10k	percent_contigs_greater_1k	percent_contigs_greater_1m	total_contig	total_contig_length	annotation_organism	annotation_contigs	annotation_bases	annotation_CDS	annotation_gene	annotation_rRNA	annotation_tRNA	annotation_tmRNA	rank	reason	annotation_repeat_region
ERX101212	1860196	True	280297576	150.682	3688126	76	76	0	76	76	76	76	3.500	37.413	3.751	40	39	37.500	39	186019554	100.000	2481334	35	74.968	0.707	75	75	75	75	11	37.624	3.122	40	39	37.500	39	0.00	30.90	18.63	19.13	0.00	31.34	5	28	36	0	5	387861	50944	22689	1423	134114	0	13.89	77.78	100.00	0.00	36	1834017	Haemophilus influenzae strain	36	1834017	1747	1786	2	36	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101213	1860196	True	382364056	205.550	5031106	76	76	0	76	76	76	76	4	37.435	3.733	40	39	37.500	39	186019601	100.000	2481366	35	74.967	0.718	75	75	75	75	11	37.639	3.124	40	39	38	39	0.00	31.04	19.09	18.89	0.00	30.99	5	26	36	0	6	179706	47182	28417	872	99857	0	13.16	68.42	94.74	0.00	38	1792947	Haemophilus influenzae strain	38	1792947	1709	1748	3	35	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101214	1860196	True	682705720	367.008	8982970	76	76	0	76	76	76	76	3	37.480	3.678	40	39	38	39	186019584	100.000	2481306	35	74.968	0.693	75	75	75	75	10.500	37.681	3.058	40	39	38	39	0.00	31.01	18.95	19.03	0.00	31.01	6	29	43	0	7	224516	39285	15211	557	95687	0	12.77	61.70	91.49	0.00	47	1846432	Haemophilus influenzae strain	47	1846432	1769	1810	2	38	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101215	1860196	True	277701416	149.286	3653966	76	76	0	76	76	76	76	3	37.457	3.686	40	39	37.500	39	186019592	100.000	2481368	35	74.967	0.723	75	75	75	75	11	37.656	3.078	40	39	38	39	0.00	30.91	19.09	19.10	0.00	30.90	4	35	53	0	11	151005	33986	25587	564	61042	0	7.02	61.40	92.98	0.00	57	1937207	Haemophilus influenzae strain	57	1937207	1912	1950	3	34	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101216	1860196	True	199395120	107.190	2623620	76	76	0	76	76	76	76	4.500	33.473	3.385	37	34.500	32.500	35	186019493	100.000	2481458	35	74.964	0.743	75	75	75	75	11	33.678	2.871	37	34.500	33	35.500	0.00	30.92	19.14	18.83	0.00	31.12	5	30	43	0	7	296095	36899	21794	509	70511	0	9.80	58.82	84.31	0.00	51	1881891	Haemophilus influenzae strain	51	1881891	1789	1836	6	40	1	bronze	Short read length (74.96bp, expect >= 75 bp)	
ERX101217	1860196	True	370408344	199.123	4873794	76	76	0	76	76	76	76	3	33.443	3.422	37	34.500	32.500	35	186019538	100.000	2481384	35	74.966	0.707	75	75	75	75	11	33.649	2.918	37	34.500	33	35.500	0.00	30.89	18.80	19.15	0.00	31.17	7	31	47	0	8	213802	37847	17535	599	91902	0	14.29	63.27	95.92	0.00	49	1854525	Haemophilus influenzae strain	49	1854525	1771	1811	5	34	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101218	1860196	True	255447856	137.323	3361156	76	76	0	76	76	76	76	3.500	37.485	3.664	40	39	38	39	186019632	100.000	2481270	35	74.970	0.678	75	75	75	75	10.500	37.683	3.044	40	39	38	39	0.00	30.93	18.97	18.95	0.00	31.14	5	33	50	0	7	188381	33947	14136	782	89085	0	9.26	61.11	92.59	0.00	54	1833191	Haemophilus influenzae strain	54	1833191	1744	1784	4	35	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101219	1860196	True	171536560	92.214	2257060	76	76	0	76	76	76	76	3	33.452	3.388	37	34	32.500	35	167433504	90.009	2233504	35	74.964	0.729	75	75	75	75	11.500	33.661	2.863	37	34.500	33	35.500	0.00	30.91	18.80	19.15	0.00	31.14	6	32	46	0	7	250078	37857	17953	501	91902	0	12.24	65.31	93.88	0.00	49	1855017	Haemophilus influenzae strain	49	1855017	1773	1819	6	39	1	bronze	Short read length (74.96bp, expect >= 75 bp)	
ERX101220	1860196	True	210871728	113.360	2774628	76	76	0	76	76	76	76	4	37.470	3.689	40	39	37.500	39	186019614	100.000	2481344	35	74.967	0.725	75	75	75	75	10.500	37.666	3.083	40	39	38	39	0.00	30.98	19.08	18.83	0.00	31.10	5	33	43	0	8	178169	37901	21589	524	88043	0	10.42	68.75	89.58	0.00	48	1819261	Haemophilus influenzae strain	48	1819261	1739	1785	5	40	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101221	1860196	True	289680840	155.726	3811590	76	76	0	76	76	76	76	3.500	37.464	3.682	40	39	37.500	39	186019681	100.000	2481350	35	74.967	0.715	75	75	75	75	11.500	37.662	3.076	40	39	38	39	0.00	31.00	19.05	18.77	0.00	31.18	4	29	37	0	6	289747	42076	27204	509	88930	0	9.52	69.05	88.10	0.00	42	1767217	Haemophilus influenzae strain	42	1767217	1652	1697	5	39	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101222	1860196	True	260172472	139.863	3423322	76	76	0	76	76	76	76	4	33.484	3.387	37	34.500	33	35	186019622	100.000	2481396	35	74.966	0.722	75	75	75	75	12	33.689	2.873	37	34.500	33	36	0.00	31.12	19.14	18.70	0.00	31.04	3	28	43	0	5	306046	33430	10718	622	92481	0	5.66	52.83	81.13	0.00	53	1771791	Haemophilus influenzae strain	53	1771791	1667	1708	5	35	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101223	1860196	True	287378952	154.489	3781302	76	76	0	76	76	76	76	4	37.397	3.753	40	39	37.500	39	186019511	100.000	2481364	35	74.967	0.720	75	75	75	75	11	37.602	3.151	40	39	37.500	39	0.00	30.87	18.99	19.16	0.00	30.99	6	36	53	0	8	174833	32973	15298	572	69213	0	10.34	62.07	91.38	0.00	58	1912453	Haemophilus influenzae strain	58	1912453	1876	1919	3	39	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101224	1860196	True	419283032	225.398	5516882	76	76	0	76	76	76	76	4	37.268	3.616	40	38.500	37	39	186019524	100.000	2481326	35	74.968	0.673	75	75	75	75	10.500	37.451	3.136	40	39	37.500	39	0.00	30.95	18.69	19.28	0.00	31.07	6	26	31	0	6	374149	56985	34353	607	105844	0	17.65	76.47	91.18	0.00	34	1937504	Haemophilus influenzae strain	34	1937504	1872	1918	4	41	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101225	1860196	True	655572200	352.422	8625950	76	76	0	76	76	76	76	4	37.310	3.480	40	38.500	37	39	186019612	100.000	2481362	35	74.967	0.699	75	75	75	75	11.500	37.447	3.139	40	39	37.500	39	0.00	31.09	19.23	18.69	0.00	30.99	5	26	35	0	5	284644	47962	27298	643	129398	0	13.16	68.42	92.11	0.00	38	1822575	Haemophilus influenzae strain	38	1822575	1749	1793	3	40	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101226	1860196	True	380324520	204.454	5004270	76	76	0	76	76	76	76	4	37.277	3.459	40	38.500	37	39	186019570	100.000	2481352	35	74.967	0.690	75	75	75	75	11	37.402	3.160	40	38.500	37.500	39	0.00	31.12	19.16	18.86	0.00	30.85	5	29	41	0	5	270284	41832	19297	565	117006	0	11.36	65.91	93.18	0.00	44	1840650	Haemophilus influenzae strain	44	1840650	1777	1829	7	44	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101227	1860196	True	790451528	424.930	10400678	76	76	0	76	76	76	76	3.500	37.264	3.554	40	38.500	37	39	186019650	100.000	2481328	35	74.968	0.685	75	75	75	75	11	37.415	3.179	40	38.500	37.500	39	0.00	31.01	19.03	18.78	0.00	31.18	5	29	43	0	5	343670	39299	19947	500	103911	0	11.11	64.44	95.56	0.00	45	1768462	Haemophilus influenzae strain	45	1768462	1659	1704	6	38	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101228	1860196	True	623399728	335.126	8202628	76	76	0	76	76	76	76	4	37.180	3.749	40	38.500	37	39	186019618	100.000	2481332	35	74.968	0.670	75	75	75	75	11	37.392	3.219	40	38.500	37.500	39	0.00	31.02	19.15	18.76	0.00	31.07	5	34	47	0	7	189672	35904	19286	532	89781	0	9.80	66.67	92.16	0.00	51	1831109	Haemophilus influenzae strain	51	1831109	1731	1774	5	37	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101229	1860196	True	529384688	284.586	6965588	76	76	0	76	76	76	76	4	37.274	3.507	40	38.500	37	39	186019550	100.000	2481342	35.500	74.967	0.682	75	75	75	75	11.500	37.416	3.165	40	39	37.500	39	0.00	31.10	19.17	18.73	0.00	31.00	4	28	38	0	5	460588	45384	24163	729	80630	0	10.26	71.79	97.44	0.00	39	1769981	Haemophilus influenzae strain	39	1769981	1658	1703	5	39	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101230	1860196	True	420927976	226.282	5538526	76	76	0	76	76	76	76	4	37.291	3.500	40	38.500	37	39	186019660	100.000	2481370	35	74.967	0.697	75	75	75	75	11	37.432	3.143	40	39	37.500	39	0.00	30.94	18.99	18.96	0.00	31.12	4	32	40	0	8	205915	46273	32449	774	84372	0	9.76	78.05	97.56	0.00	41	1897206	Haemophilus influenzae strain	41	1897206	1817	1860	2	40	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101231	1860196	True	414518896	222.836	5454196	76	76	0	76	76	76	76	4	37.314	3.439	40	38.500	37	39	186019627	100.000	2481338	35	74.967	0.680	75	75	75	75	11.500	37.437	3.135	40	39	37.500	39	0.00	30.87	19.34	18.86	0.00	30.93	5	34	53	0	8	173673	32871	17607	600	75817	0	8.62	58.62	91.38	0.00	58	1906540	Haemophilus influenzae strain	58	1906540	1870	1914	2	41	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101232	1860196	True	422957480	227.372	5565230	76	76	0	76	76	76	76	4	37.278	3.539	40	38.500	37	39	186019659	100.000	2481358	35	74.967	0.694	75	75	75	75	11.500	37.435	3.132	40	39	37.500	39	0.00	30.82	18.92	19.12	0.00	31.13	3	40	53	0	10	252548	34593	24572	585	56402	0	5.45	72.73	96.36	0.00	55	1902643	Haemophilus influenzae strain	55	1902643	1862	1905	3	39	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101233	1860196	True	504035192	270.958	6632042	76	76	0	76	76	76	76	3.500	37.314	3.455	40	38.500	37.500	39	186019693	100.000	2481376	35	74.966	0.697	75	75	75	75	10.500	37.439	3.148	40	39	37.500	39	0.00	30.97	19.06	18.87	0.00	31.10	5	30	37	0	6	294774	43066	24061	607	95300	0	11.36	68.18	84.09	0.00	44	1894926	Haemophilus influenzae strain	44	1894926	1822	1863	3	37	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101234	1860196	True	136440900	73.348	1819212	75	75	0	75	75	75	75	9.500	37.294	2.929	40	38	37	39	136082350	73.155	1814944	35	74.979	0.543	75	75	75	75	12.500	37.325	2.825	40	38	37	39	0.00	31.08	19.03	18.83	0.00	31.06	6	29	42	0	7	193130	40725	23914	535	91188	0	13.33	64.44	93.33	0.00	45	1832630	Haemophilus influenzae strain	45	1832630	1734	1778	4	39	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101235	1860196	True	234322950	125.967	3124306	75	75	0	75	75	75	75	8	37.085	3.184	40	38	37	39	186019567	100.000	2480930	35	74.980	0.521	75	75	75	75	11	37.116	3.093	40	38	37	39	0.00	31.03	18.85	18.99	0.00	31.13	5	22	28	0	4	352976	65834	26228	1265	136950	0	17.86	78.57	100.00	0.00	28	1843361	Haemophilus influenzae strain	28	1843361	1755	1799	2	41	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101236	1860196	True	176138550	94.688	2348514	75	75	0	75	75	75	75	9	37.237	2.977	40	38	37	39	175724080	94.465	2343678	35	74.978	0.559	75	75	75	75	11.500	37.265	2.885	40	38	37	39	0.00	31.03	19.14	18.83	0.00	30.99	5	25	40	0	6	215169	42998	18587	554	94064	0	11.90	59.52	95.24	0.00	42	1805932	Haemophilus influenzae strain	42	1805932	1728	1772	4	39	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101237	1860196	True	247035900	132.801	3293812	75	75	0	75	75	75	75	9	37.087	3.182	40	38	37	39	186019617	100.000	2480978	35.500	74.978	0.547	75	75	75	75	12	37.118	3.088	40	38	37	39	0.00	30.93	18.97	18.84	0.00	31.27	5	27	33	0	5	346820	47721	26873	509	129598	0	13.51	72.97	89.19	0.00	37	1765706	Haemophilus influenzae strain	37	1765706	1650	1691	2	38	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101238	1860196	True	310878000	167.121	4145040	75	75	0.000	75	75	75	75	8	37.279	2.928	40	38	37	39	186019557	100.000	2480988	35	74.978	0.559	75	75	75	75	11	37.307	2.835	40	38	37	39	0.00	31.05	19.25	18.76	0.00	30.93	7	22	28	0	6	292185	57590	37349	547	121978	0	21.88	68.75	87.50	0.00	32	1842908	Haemophilus influenzae strain	32	1842908	1794	1839	1	43	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101239	1860196	True	167074950	89.816	2227666	75	75	0	75	75	75	75	8.500	37.103	3.129	40	38	37	39	166671089	89.599	2222918	35	74.979	0.545	75	75	75	75	11	37.133	3.037	40	38	37	39	0.00	31.00	18.76	19.19	0.00	31.06	5	24	32	0	5	367869	52103	28743	612	102229	0	14.29	68.57	91.43	0.00	35	1823614	Haemophilus influenzae strain	35	1823614	1741	1786	3	41	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101240	1860196	True	348980100	187.604	4653068	75	75	0	75	75	75	75	9	39.078	2.931	42	40	38.500	41	186019679	100.000	2481072	35	74.976	0.578	75	75	75	75	15	38.257	2.579	40	39	38	40	0.00	30.79	18.71	19.24	0.00	31.26	5	34	46	0	7	280394	38648	25561	599	86258	0	10.42	70.83	95.83	0.00	48	1855120	Haemophilus influenzae strain	48	1855120	1769	1814	4	40	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101241	1860196	True	298473450	160.453	3979646	75	75	0	75	75	75	75	8.500	37.209	3.003	40	38	37	39	186019544	100.000	2480960	35	74.979	0.547	75	75	75	75	10.500	37.238	2.904	40	38	37	39	0.00	30.91	18.79	19.07	0.00	31.23	4	35	44	0	8	252546	37212	19981	526	71149	0	8.16	71.43	89.80	0.00	49	1823395	Haemophilus influenzae strain	49	1823395	1746	1785	3	35	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101242	1860196	True	203521950	109.409	2713626	75	75	0	75	75	75	75	8.500	37.135	3.072	40	38	37	39	186019582	100.000	2481008	35	74.977	0.562	75	75	75	75	11	37.169	2.963	40	38	37	39	0.00	31.01	18.99	19.08	0.00	30.92	7	29	49	0	7	224136	33645	10046	647	101101	0	12.28	50.88	85.96	0.00	57	1917816	Haemophilus influenzae strain	57	1917816	1859	1903	3	40	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101243	1860196	True	515104650	276.908	6868062	75	75	0	75	75	75	75	6	37.242	2.968	40	38	37	39	186019615	100.000	2480932	35.500	74.980	0.530	75	75	75	75	11.500	37.271	2.874	40	38	37	39	0.00	30.84	18.96	18.90	0.00	31.30	6	38	48	0	9	135713	35074	24401	526	63210	0	11.54	73.08	92.31	0.00	52	1823898	Haemophilus influenzae strain	52	1823898	1743	1787	4	39	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101244	1860196	True	154578900	83.098	2061052	75	75	0	75	75	75	75	9	37.251	2.967	40	38	37	39	154214730	82.903	2056812	35	74.978	0.571	75	75	75	75	11.500	37.280	2.871	40	38	37	39	0.00	31.19	19.19	18.76	0.00	30.86	7	27	37	0	6	225491	51207	30038	1038	117108	0	18.92	72.97	100.00	0.00	37	1894673	Haemophilus influenzae strain	37	1894673	1810	1855	4	40	1	bronze	Short read length (74.98bp, expect >= 75 bp)	
ERX101245	1860196	True	127658850	68.627	1702118	75	75	0	75	75	75	75	9	38.940	3.062	42	40	38	41	127355728	68.464	1698676	35	74.974	0.622	75	75	75	75	14.500	38.136	2.702	40	39	38	40	0.00	31.00	18.83	19.06	0.00	31.11	6	22	32	0	5	317814	51360	18832	576	140340	0	17.65	64.71	94.12	0.00	34	1746244	Haemophilus influenzae strain	34	1746244	1645	1691	6	39	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
