Node	Beg	End
NODE_72	1231009	1231066
NODE_72	1231752	1233429
NODE_72	1234107	1234235
NODE_72	1235124	1235250
NODE_72	1237482	1239369
NODE_72	1240620	1241355
NODE_72	1241694	1241988
NODE_72	1246554	1253239
NODE_72	1315419	1315741
NODE_72	1316325	1316412
NODE_72	1342876	1343325
NODE_72	1343997	1344180
NODE_72	1358917	1359177
NODE_72	1411359	1411470
NODE_72	1412042	1413653
NODE_72	1414611	1414818
NODE_72	1415896	1416477
NODE_72	1416867	1417011
NODE_72	1418157	1428770
NODE_72	1450716	1451664
NODE_72	1463091	1464684
NODE_72	1465167	1465644
NODE_72	1481796	1481838
NODE_72	1510499	1513524
NODE_72	1514033	1514334
NODE_72	1514661	1519323
NODE_72	1519707	1519874
NODE_72	1520635	1520993
NODE_72	1521523	1524156
NODE_72	1524526	1525785
NODE_72	1527048	1527372
NODE_72	1528638	1528830
NODE_72	1540296	1540740
NODE_72	1541803	1542361
NODE_72	1547907	1548167
NODE_73	18063	19425
NODE_73	24235	26196
NODE_73	201786	202054
NODE_73	202635	203322
NODE_73	204498	205050
NODE_73	205554	205698
NODE_73	428593	428635
NODE_73	429291	429891
NODE_73	430562	430935
NODE_73	431385	432511
NODE_73	432843	433451
NODE_73	434919	435591
NODE_73	436056	436689
NODE_73	437071	439660
NODE_73	440023	447633
NODE_73	448208	448270
NODE_73	450606	450624
NODE_73	451365	451410
NODE_73	453315	454353
NODE_73	725208	726906
NODE_73	727707	728625
NODE_73	729048	729096
NODE_73	729593	730320
NODE_73	730988	731196
NODE_73	731804	731911
NODE_73	755911	756123
NODE_73	757845	758916
NODE_73	798525	798798
NODE_73	800130	803106
NODE_73	810381	811135
NODE_73	814715	815517
NODE_73	856590	857655
NODE_73	858010	864438
NODE_73	865035	865818
NODE_73	957573	958590
NODE_73	959763	961719
NODE_73	962583	963288
NODE_73	965175	965286
NODE_73	1019898	1020738
NODE_73	1021991	1023369
NODE_73	1024323	1025271
NODE_73	1031724	1031775
NODE_73	1032756	1033248
NODE_73	1033605	1034673
NODE_73	1035150	1036373
NODE_73	1037587	1037820
NODE_73	1128522	1129110
NODE_73	1129791	1129863
NODE_73	1132635	1133419
NODE_73	1164249	1165044
NODE_73	1165653	1168056
NODE_73	1170047	1170060
NODE_73	1170441	1171248
NODE_73	1212331	1212592
NODE_73	1232160	1232200
NODE_73	1245574	1246436
NODE_73	1250333	1251948
NODE_73	1253223	1253362
NODE_73	1254858	1255095
NODE_73	1315083	1318053
NODE_73	1342506	1346901
NODE_73	1358976	1359422
NODE_73	1415718	1416840
NODE_73	1418814	1421180
NODE_73	1421544	1422600
NODE_73	1422955	1427424
NODE_73	1428730	1428795
NODE_73	1451016	1451878
NODE_73	1463217	1466337
NODE_73	1510528	1513320
NODE_73	1514772	1515405
NODE_73	1515750	1519350
NODE_73	1519690	1520510
NODE_73	1520847	1521261
NODE_73	1524499	1524843
NODE_73	1528632	1528902
NODE_73	1540294	1541307
NODE_73	1541787	1542507
NODE_74	1	564
NODE_74	2739	3018
NODE_74	3834	5679
NODE_74	6951	7059
NODE_74	8205	8311
NODE_74	36489	36605
NODE_74	43668	44415
NODE_74	45120	46596
NODE_74	47882	49829
NODE_74	50721	51090
NODE_74	68063	68166
NODE_74	70947	71562
NODE_74	75660	76206
NODE_74	77418	77646
NODE_74	78729	78741
NODE_74	79836	80013
NODE_74	80898	81234
NODE_74	81813	82350
NODE_74	93260	95616
NODE_74	108084	108534
NODE_74	109146	109908
NODE_74	122208	122337
NODE_74	122818	123132
NODE_74	124566	130440
NODE_74	130743	132451
NODE_74	132861	135160
NODE_74	135813	136212
NODE_74	136503	136693
NODE_74	139284	139674
NODE_74	140324	140364
NODE_74	141354	141585
NODE_74	147324	148425
NODE_74	155541	163371
NODE_74	167577	168015
NODE_74	170019	170476
NODE_74	173232	175656
NODE_74	179448	179496
NODE_74	188892	190339
NODE_74	191397	191775
NODE_74	194769	195992
NODE_74	196374	196488
NODE_74	197626	198003
NODE_74	198981	200247
NODE_74	200829	202032
NODE_74	203289	203369
NODE_74	216207	217881
NODE_74	218331	221958
NODE_74	222399	222564
NODE_74	223404	230301
NODE_74	235710	235824
NODE_74	236568	236955
NODE_74	238296	239655
NODE_74	249196	251655
NODE_74	252501	252696
NODE_74	254082	254591
NODE_74	255435	255663
NODE_74	273058	274854
NODE_74	275607	277931
NODE_74	279177	279288
NODE_74	280665	280752
NODE_74	281203	283179
NODE_74	283555	284025
NODE_74	284586	287355
NODE_74	289701	296874
NODE_74	297630	301152
NODE_74	301787	302183
NODE_74	304792	305337
NODE_74	306252	306756
NODE_74	308740	308892
NODE_74	314480	314634
NODE_74	315228	316134
NODE_74	317041	317046
NODE_74	319654	319809
NODE_74	322356	326927
NODE_74	327894	333952
NODE_74	334296	334827
NODE_74	340581	342291
NODE_74	342702	342787
NODE_74	344328	345096
NODE_74	347286	347715
NODE_74	349308	349680
NODE_74	350052	350961
NODE_74	356904	359481
NODE_74	360309	360467
NODE_74	361104	362224
NODE_74	384450	387601
NODE_74	394326	397974
NODE_74	400542	400818
NODE_74	401991	403639
NODE_74	405564	405755
NODE_74	409998	413580
NODE_74	424632	425457
NODE_74	426339	426534
NODE_74	428572	430116
NODE_74	430464	431085
NODE_74	432081	434790
NODE_74	435624	436029
NODE_74	437757	438312
NODE_74	439828	444726
NODE_74	445600	446559
NODE_74	447897	448020
NODE_74	448908	449772
NODE_74	452029	452814
NODE_74	453250	453755
NODE_74	455478	456174
NODE_74	459948	460212
NODE_74	460719	461964
NODE_74	462441	463846
NODE_74	464166	464253
NODE_74	464541	465774
NODE_74	466440	469587
NODE_74	469959	470506
NODE_74	472035	472818
NODE_74	473239	476328
NODE_74	476616	479262
NODE_74	480047	481132
NODE_74	482478	483633
NODE_74	485619	487749
NODE_74	488148	488994
NODE_74	489288	490724
NODE_74	491190	491445
NODE_74	491917	499428
NODE_74	517782	518148
NODE_74	518622	519928
NODE_74	520374	521109
NODE_74	522242	522408
NODE_74	529263	529590
NODE_74	531933	533070
NODE_74	539496	539880
NODE_74	541038	541284
NODE_74	541735	542403
NODE_74	542868	544008
NODE_74	546489	546660
NODE_74	549049	551094
NODE_74	551945	554391
NODE_74	565610	566422
NODE_74	567012	567093
NODE_74	567416	571969
NODE_74	572907	576758
NODE_74	577153	578223
NODE_74	579542	579636
NODE_74	603762	604851
NODE_74	608555	608865
NODE_74	609297	610243
NODE_74	610662	610950
NODE_74	611346	611552
NODE_74	612954	613215
NODE_74	614383	618132
NODE_74	619311	619704
NODE_74	623350	624286
NODE_74	624843	626701
NODE_74	627132	627222
NODE_74	635412	636738
NODE_74	647247	648345
NODE_74	648810	650451
NODE_74	651552	652755
NODE_74	657097	657906
NODE_74	671529	675420
NODE_74	676500	676866
NODE_74	685599	686520
NODE_74	687120	689420
NODE_74	690078	691411
NODE_74	692718	695403
NODE_74	698727	699678
NODE_74	700038	700302
NODE_74	700798	702156
NODE_74	703725	704521
NODE_74	704850	705084
NODE_74	708672	709206
NODE_74	718730	722742
NODE_74	723654	726702
NODE_74	727485	729537
NODE_74	730497	730960
NODE_74	731544	732339
NODE_74	734175	736797
NODE_74	737265	737652
NODE_74	738465	739962
NODE_74	740337	741159
NODE_74	741670	741834
NODE_74	742293	743593
NODE_74	747693	757467
NODE_74	763554	764986
NODE_74	765339	768537
NODE_74	768861	769138
NODE_74	775047	775770
NODE_74	777195	777588
NODE_74	778161	780879
NODE_74	781344	781872
NODE_74	790053	794939
NODE_74	795396	795753
NODE_74	796407	798372
NODE_74	798762	798792
NODE_74	799371	799468
NODE_74	799821	800023
NODE_74	802206	802358
NODE_74	803151	804804
NODE_74	805284	806094
NODE_74	806790	807881
NODE_74	808941	809772
NODE_74	811572	811935
NODE_74	813243	813576
NODE_74	821538	825899
NODE_74	828105	828954
NODE_74	831678	832758
NODE_74	835741	836037
NODE_74	840841	841191
NODE_74	858918	859134
NODE_74	861385	862938
NODE_74	868704	870584
NODE_74	871254	871854
NODE_74	892203	893046
NODE_74	893934	894028
NODE_74	895047	901839
NODE_74	903084	909225
NODE_74	909826	910828
NODE_74	911296	911610
NODE_74	912081	912462
NODE_74	913790	914277
NODE_74	917469	918591
NODE_74	924354	925287
NODE_74	926427	935421
NODE_74	937125	938638
NODE_74	940248	941688
NODE_74	942907	945762
NODE_74	946158	951861
NODE_74	952159	956865
NODE_74	957642	958039
NODE_74	958450	961804
NODE_74	964449	966291
NODE_74	968980	969339
NODE_74	970491	970812
NODE_74	971694	973964
NODE_74	976969	979267
NODE_74	980685	980779
NODE_74	987535	987606
NODE_74	995784	996006
NODE_74	997777	997936
NODE_74	999054	1000143
NODE_74	1007106	1007992
NODE_74	1008401	1009396
NODE_74	1009823	1009873
NODE_74	1010288	1021899
NODE_74	1022287	1023183
NODE_74	1025028	1025073
NODE_74	1032900	1033932
NODE_74	1034241	1034295
NODE_74	1034710	1034967
NODE_74	1035504	1037517
NODE_74	1038123	1038975
NODE_74	1039368	1039386
NODE_74	1039869	1040566
NODE_74	1041807	1049988
NODE_74	1050663	1051036
NODE_74	1056402	1056816
NODE_74	1059123	1060008
NODE_74	1061173	1067265
NODE_74	1071430	1074791
NODE_74	1075218	1077084
NODE_74	1077373	1080357
NODE_74	1085248	1085524
NODE_74	1089228	1091991
NODE_74	1094955	1096803
NODE_74	1097736	1099685
NODE_74	1099982	1100214
NODE_74	1100508	1101045
NODE_74	1101819	1103496
NODE_74	1107522	1107677
NODE_74	1108878	1109115
NODE_74	1110282	1113414
NODE_74	1114212	1115068
NODE_74	1115865	1116222
NODE_74	1116675	1116697
NODE_74	1117815	1118601
NODE_74	1118905	1119687
NODE_74	1126311	1128067
NODE_74	1136625	1136814
NODE_74	1137189	1138431
NODE_74	1145763	1146378
NODE_74	1146786	1147069
NODE_74	1153413	1153644
NODE_74	1161327	1161483
NODE_74	1161951	1163349
NODE_74	1164046	1164596
NODE_74	1167181	1167624
NODE_74	1168113	1170022
NODE_74	1171167	1171182
NODE_74	1174516	1174587
NODE_74	1175571	1176495
NODE_74	1177215	1178859
NODE_74	1180532	1180593
NODE_74	1192371	1195701
NODE_74	1196499	1197575
NODE_74	1200685	1201083
NODE_74	1201980	1202196
NODE_74	1212453	1213515
NODE_74	1219249	1220571
NODE_74	1221285	1223622
NODE_74	1231116	1231732
NODE_74	1232067	1232148
NODE_74	1245762	1246242
NODE_74	1250301	1251261
NODE_74	1251951	1251969
NODE_74	1257616	1258394
NODE_74	1259386	1259742
NODE_74	1260597	1261467
NODE_74	1262112	1262385
NODE_74	1264980	1265781
NODE_74	1268391	1270953
NODE_74	1271509	1273516
NODE_74	1273803	1275621
NODE_74	1278930	1279179
NODE_74	1279999	1280781
NODE_74	1281783	1281876
NODE_74	1283157	1284753
NODE_74	1285479	1285758
NODE_74	1294293	1297006
NODE_74	1306677	1307259
NODE_74	1308885	1313568
NODE_74	1316328	1316400
NODE_74	1318368	1319313
NODE_74	1320408	1321368
NODE_74	1321782	1322053
NODE_74	1323235	1323324
NODE_74	1323636	1324851
NODE_74	1325383	1325994
NODE_74	1328289	1328952
NODE_74	1330035	1331675
NODE_74	1332300	1332562
NODE_74	1335309	1336008
NODE_74	1336323	1337442
NODE_74	1337756	1341908
NODE_74	1343415	1344171
NODE_74	1351662	1356907
NODE_74	1358625	1358685
NODE_74	1359440	1359780
NODE_74	1362981	1363101
NODE_74	1363905	1365429
NODE_74	1366666	1367241
NODE_74	1367550	1368000
NODE_74	1368468	1368642
NODE_74	1368975	1373640
NODE_74	1374129	1374624
NODE_74	1376322	1378047
NODE_74	1379085	1379142
NODE_74	1390641	1390703
NODE_74	1392726	1392856
NODE_74	1393753	1394118
NODE_74	1395828	1396939
NODE_74	1399879	1400925
NODE_74	1401558	1403020
NODE_74	1403571	1406875
NODE_74	1408140	1408925
NODE_74	1409769	1410915
NODE_74	1415007	1415787
NODE_74	1417266	1417377
NODE_74	1418764	1420983
NODE_74	1421757	1422701
NODE_74	1423923	1427407
NODE_74	1428503	1428780
NODE_74	1432121	1433868
NODE_74	1438755	1438989
NODE_74	1443054	1444947
NODE_74	1445796	1452831
NODE_74	1453239	1454319
NODE_74	1454838	1455342
NODE_74	1455825	1456137
NODE_74	1456995	1457332
NODE_74	1457826	1458208
NODE_74	1459305	1460568
NODE_74	1461437	1464772
NODE_74	1466565	1471146
NODE_74	1471443	1472364
NODE_74	1473318	1473801
NODE_74	1474566	1477071
NODE_74	1481748	1482207
NODE_74	1482748	1483161
NODE_74	1484481	1485336
NODE_74	1486488	1488573
NODE_74	1493067	1497885
NODE_74	1500430	1500916
NODE_74	1501545	1504831
NODE_74	1505961	1507587
NODE_74	1508233	1509058
NODE_74	1509367	1512758
NODE_74	1513963	1519211
NODE_74	1524500	1524975
NODE_74	1526004	1526346
NODE_74	1527378	1528452
NODE_74	1528958	1529395
NODE_74	1532980	1533279
NODE_74	1535373	1535658
NODE_74	1536936	1538859
NODE_74	1539855	1542576
NODE_74	1544995	1548951
NODE_74	1550568	1550736
NODE_78	403324	403326
NODE_81	24633	24879
NODE_81	25752	28873
NODE_81	403308	403322
NODE_81	860983	862707
NODE_81	863506	863756
NODE_82	88384	88719
NODE_87	254665	255663
NODE_87	256098	256752
NODE_87	257329	259674
NODE_87	403272	403286
NODE_87	856563	856738
NODE_87	858414	859137
NODE_87	886488	886520
NODE_87	1114765	1114776
NODE_87	1417332	1418157
NODE_87	1423576	1426163
NODE_87	1469518	1470783
NODE_87	1539673	1539807
NODE_88	315825	316053
NODE_88	317859	318717
NODE_88	346842	347685
NODE_88	348213	348610
NODE_88	800346	800491
NODE_88	801151	801595
NODE_88	803485	805170
NODE_88	905199	905363
NODE_88	906129	906597
NODE_88	1128837	1129422
NODE_88	1133019	1133367
NODE_88	1421085	1423414
NODE_88	1424019	1424847
NODE_88	1519240	1519323
NODE_88	1519707	1519874
NODE_88	1520758	1520976
NODE_88	1528626	1529055
NODE_88	1539192	1539319
NODE_88	1541608	1541694
NODE_88	1548170	1548179
NODE_89	315969	316506
NODE_89	316925	316995
NODE_89	317976	318396
NODE_89	343539	344274
NODE_89	345153	348820
NODE_89	800784	800862
NODE_89	801235	801684
NODE_89	803064	804756
NODE_89	906489	906593
NODE_89	1128939	1129932
NODE_89	1130292	1130391
NODE_89	1130760	1130769
NODE_89	1131408	1131807
NODE_89	1132635	1134433
NODE_89	1135116	1135161
NODE_89	1421079	1421574
NODE_89	1422964	1424609
NODE_89	1512996	1513464
NODE_89	1513833	1513854
NODE_89	1519239	1521261
NODE_89	1528632	1529028
NODE_89	1543416	1543617
NODE_89	1549953	1550736
NODE_90	1421130	1422564
NODE_90	1423536	1425234
NODE_94	403312	403314
NODE_94	1067339	1067344
NODE_94	1523260	1523793
